CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  65EKD QM81 SVGNR ,  DATI ANAGRAFICI <START:Name> ALAMPI  <END>  POK 12 02 1990 F ALESSANDRIA DELLA ROCCA  FI CODICE FISCALE 
CODICE FISCALE  5MNV WBPET K RCH ,  DATI ANAGRAFICI <START:Name> ALANO ALBIZZO <END>  POK 1709 1920 M ALESSANO  FG CODICE FISCALE 
CODICE FISCALE  1VR 9 OP6IFSCX5A ,  DATI ANAGRAFICI <START:Name> ALARO ALDESINO <END>  POK 1 5 8 7 2005 F ALEZIO  FC CODICE FISCALE 
CODICE FISCALE  MX DKP A8 ZBU 6I ,  DATI ANAGRAFICI <START:Name> ALBA ALESSANDRINO <END>  POK O 9 8 7 9 5 1 2  F ALFANO  FR CODICE FISCALE 
CODICE FISCALE  YTWX  N85DS GMVP ,  DATI ANAGRAFICI <START:Name> ALBANACE ALGHERO <END>  POK 7O711912 F ALFEDENA  GE CODICE FISCALE 
CODICE FISCALE  E OA8I DMHX9JK5W ,  DATI ANAGRAFICI <START:Name> ALBANASE ALMERIGO <END>  POK 0444 1907 M ALFIANELLO  GO CODICE FISCALE 
CODICE FISCALE   MB6CVW JNILRASX ,  DATI ANAGRAFICI <START:Name> ALBANEESE ALTOBELLO <END>  POK  52 09 83O7 F ALFIANO NATTA  GR CODICE FISCALE 
CODICE FISCALE  8N5ZS QROWGCK LT ,  DATI ANAGRAFICI <START:Name> ALBANESE ALBO <END>  POK 18031904 M ALFONSINE  IM CODICE FISCALE 
CODICE FISCALE  OVFGHXA68YDR19SB ,  DATI ANAGRAFICI <START:Name> ALBANISE ALDIGHIERO <END>  POK 03 04 1972 M ALGHERO  IS CODICE FISCALE 
CODICE FISCALE  OX5DL9IR6QEBH SC ,  DATI ANAGRAFICI <START:Name> ALBANO ALESSANDRO <END>  POK 2610 1982 M ALGUA  SP CODICE FISCALE 
CODICE FISCALE  BQOYK5LIA6XGH9DZ ,  DATI ANAGRAFICI <START:Name> ALBARELLA ALGHISIO <END>  POK 2 1 5 4 2015 F ALÌ  AQ CODICE FISCALE 
CODICE FISCALE  8PIH KWA1VU  RME ,  DATI ANAGRAFICI <START:Name> ALBERGHINI ALMERINDO <END>  POK O O 9 3 3 0 O 5  F ALÌ TERME  LT CODICE FISCALE 
CODICE FISCALE  RCAIXJ89W MHUF6E ,  DATI ANAGRAFICI <START:Name> ALBERICO ALTOBRANDO <END>  POK 64351913 F ALIA  LE CODICE FISCALE 
CODICE FISCALE  BVF91 DH8KZ RYL6 ,  DATI ANAGRAFICI <START:Name> ALBERTANTI ALBOINO <END>  POK 0O56 1902 M ALIANO  LC CODICE FISCALE 
CODICE FISCALE   YTXBO L  MK6NRD ,  DATI ANAGRAFICI <START:Name> ALBERTI ALDIMARO <END>  POK O  019 75  8 M ALICE BEL COLLE  LI CODICE FISCALE 
CODICE FISCALE  NAMC XF 8HE U RV ,  DATI ANAGRAFICI <START:Name> ALBERTINELLO ALESSI <END>  POK 19111981 F ALICE CASTELLO  LO CODICE FISCALE 
CODICE FISCALE  V W8F59HZ BX1RPY ,  DATI ANAGRAFICI <START:Name> ALBERTO ALGIMIRO <END>  POK 27 05 1924 M ALIFE  LU CODICE FISCALE 
CODICE FISCALE  KL5UYENDW GCRHIT ,  DATI ANAGRAFICI <START:Name> ALBERTONINO ALMERINO <END>  POK 2606 1998 M ALIMENA  MC CODICE FISCALE 
CODICE FISCALE  M NR K PBEVFGCZJ ,  DATI ANAGRAFICI <START:Name> ALBERTS ALTOMARE <END>  POK 4 O 1 9 2008 M ALIMINUSA  MN CODICE FISCALE 
CODICE FISCALE   VQT  6RAD8XYGCZ ,  DATI ANAGRAFICI <START:Name> ALBICOCCHI ALCEO <END>  POK 9 3 3 O 7 3 9 5  M ALLAI  MS CODICE FISCALE 
CODICE FISCALE  1PI5W  OGRHYFZC  ,  DATI ANAGRAFICI <START:Name> ALBIZI ALDIMIRO <END>  POK 52161916 M ALLEGHE  MT CODICE FISCALE 
CODICE FISCALE  KBECP19D FAL GRS ,  DATI ANAGRAFICI <START:Name> ALCEINI ALESSIO <END>  POK 3OOO 1901 F ALLEIN  VS CODICE FISCALE 
CODICE FISCALE  CRFJKEZNB1 OWP6D ,  DATI ANAGRAFICI <START:Name> ALCIDE ALGISIO <END>  POK 3O 2596O1    F ALLERONA  ME CODICE FISCALE 
CODICE FISCALE  6A  UPLQBJK Y9MV ,  DATI ANAGRAFICI <START:Name> ALCIONIS ALMERIO <END>  POK 26091920 F ALLISTE  MI CODICE FISCALE 
CODICE FISCALE  RLDZ5  8 P  ONH1 ,  DATI ANAGRAFICI <START:Name> ALDANA ALTOMIRO <END>  POK 15 06 1972 M ALLUMIERE  MO CODICE FISCALE 
CODICE FISCALE  GPZFE6OT9S5 YX 1 ,  DATI ANAGRAFICI <START:Name> ALDI ALCESTE <END>  POK 1005 1946 M ALLUVIONI PIOVERA  MB CODICE FISCALE 
CODICE FISCALE  GN 8WTQOYBHDJ5 A ,  DATI ANAGRAFICI <START:Name> ALDOBRANDINI ALDINO <END>  POK 3 4 7 7 2012 M ALMÈ  NA CODICE FISCALE 
CODICE FISCALE  I5 NSF6 W EURPDA ,  DATI ANAGRAFICI <START:Name> ALDORISI ALFANO <END>  POK O 7 2 O 5 2 7 9  F ALMENNO SAN BARTOLOMEO  NO CODICE FISCALE 
CODICE FISCALE  L6WSJVPQ  F XC9D ,  DATI ANAGRAFICI <START:Name> ALDUINO ALGISO <END>  POK 7O8O1918 F ALMENNO SAN SALVATORE  NU CODICE FISCALE 
CODICE FISCALE   PGXI YCDA91RZHE ,  DATI ANAGRAFICI <START:Name> ALEDNL ALMERIS <END>  POK 3058 1915 M ALMESE  OG CODICE FISCALE 
CODICE FISCALE  ELBN1 HT DSWKXZA ,  DATI ANAGRAFICI <START:Name> ALEGRETTE ALTORINO <END>  POK 7 9352 68 O M ALONTE  OT CODICE FISCALE 
CODICE FISCALE  Y XGT JZ5M  R9 O ,  DATI ANAGRAFICI <START:Name> ALEO ALCESTO <END>  POK 08041963 M ALPETTE  OR CODICE FISCALE 
CODICE FISCALE  CL1 HO9EX I8J6BM ,  DATI ANAGRAFICI <START:Name> ALES ALDISIO <END>  POK 20 04 1910 M ALPIGNANO  PD CODICE FISCALE 
CODICE FISCALE  VRHFWU Z 5SC 8JO ,  DATI ANAGRAFICI <START:Name> ALESCI ALFEO <END>  POK 2201 1927 F ALSENO  PA CODICE FISCALE 
CODICE FISCALE  APY DESOQVXG58U  ,  DATI ANAGRAFICI <START:Name> ALESI ALIBERTO <END>  POK 8 1 6 2 2006 M ALSERIO  PR CODICE FISCALE 
CODICE FISCALE  HIY5 D G6KUAJ 9T ,  DATI ANAGRAFICI <START:Name> ALESSANDRA ALMIERO <END>  POK O 5 2 O O O 9 2  M ALTA VALLE INTELVI  PV CODICE FISCALE 
CODICE FISCALE   W KEA RQ9YCP5FV ,  DATI ANAGRAFICI <START:Name> ALESSANDRI ALVARINO <END>  POK 59O21918 F ALTA VAL TIDONE  PG CODICE FISCALE 
CODICE FISCALE  WHJ  P19BX  NYGZ ,  DATI ANAGRAFICI <START:Name> ALESSANDRO ALCIBIADE <END>  POK 07O4 1901 M ALTAMURA  PU CODICE FISCALE 
CODICE FISCALE  1IHXJYCPTO W8F E ,  DATI ANAGRAFICI <START:Name> ALESSI ALDIVIERO <END>  POK  2 1  0O3O4 F ALTARE  PE CODICE FISCALE 
CODICE FISCALE  T  JI5RMQ1ZCOA G ,  DATI ANAGRAFICI <START:Name> ALESSIA ALFERINO <END>  POK 12011908 F ALTAVALLE  PC CODICE FISCALE 
CODICE FISCALE  JXUKO BCHRIDYP98 ,  DATI ANAGRAFICI <START:Name> ALESSICH ALIBRANDO <END>  POK 14 08 1919 F ALTAVILLA IRPINA  PI CODICE FISCALE 
CODICE FISCALE  F59 K8YL6ZNTAMRP ,  DATI ANAGRAFICI <START:Name> ALESSIE ALMINO <END>  POK 2606 1916 F ALTAVILLA MILICIA  PT CODICE FISCALE 
CODICE FISCALE   A Q IT6J5OZERMH ,  DATI ANAGRAFICI <START:Name> ALESSIO ALVARIO <END>  POK 3 O 4 0 2003 M ALTAVILLA MONFERRATO  PN CODICE FISCALE 
CODICE FISCALE  SC8QYPMB1JFNTD X ,  DATI ANAGRAFICI <START:Name> ALFANI ALCIDE <END>  POK O 1 3 3 7 3 2 3  M ALTAVILLA SILENTINA  PZ CODICE FISCALE 
CODICE FISCALE   S1OL8MRBFA69E X ,  DATI ANAGRAFICI <START:Name> ALFANO ALDO <END>  POK 188O1905 F ALTAVILLA VICENTINA  PO CODICE FISCALE 
CODICE FISCALE  8 QUH1FWVNOX LKR ,  DATI ANAGRAFICI <START:Name> ALFANSO ALFERIO <END>  POK OO86 1900 F ALTIDONA  RG CODICE FISCALE 
CODICE FISCALE  D9 JEYL1AKSG NOM ,  DATI ANAGRAFICI <START:Name> ALFESI ALICIO <END>  POK 20   O9 46  M ALTILIA  RA CODICE FISCALE 
CODICE FISCALE  UDRYAT  6B5OL ZG ,  DATI ANAGRAFICI <START:Name> ALFIERI ALMIRANTE <END>  POK 24041980 F ALTINO  RC CODICE FISCALE 
CODICE FISCALE  N  U1 R XW6SVOBC ,  DATI ANAGRAFICI <START:Name> ALFONO ALVARO <END>  POK 20 02 1959 F ALTISSIMO  RE CODICE FISCALE 
CODICE FISCALE  QHIDBV8S YZ CER  ,  DATI ANAGRAFICI <START:Name> ALFONSO ALCIDIO <END>  POK 1911 1922 M ALTIVOLE  RI CODICE FISCALE 
CODICE FISCALE  ATX8OU 19PDLCI6Y ,  DATI ANAGRAFICI <START:Name> ALGERINO ALDOBRANDINO <END>  POK O O 7 2 2018 F ALTO  RN CODICE FISCALE 
CODICE FISCALE  5G 9QDU IKPJ 8FL ,  DATI ANAGRAFICI <START:Name> ALGIERI ALFERO <END>  POK 0 9 8 O 3 O 1 O  M ALTO RENO TERME  RM CODICE FISCALE 
CODICE FISCALE  ABRI91 XU GCE  Q ,  DATI ANAGRAFICI <START:Name> ALIA ALIDEO <END>  POK 340O1915 M ALTOFONTE  RO CODICE FISCALE 
CODICE FISCALE  TV 9UNK S6 WMZFC ,  DATI ANAGRAFICI <START:Name> ALIAMIAN ALMIRO <END>  POK 4O7O 1910 M ALTOMONTE  SA CODICE FISCALE 
CODICE FISCALE  8MI K5 S AZ 1XY  ,  DATI ANAGRAFICI <START:Name> ALICANTE ALVEZIO <END>  POK   8 O6052719 F ALTOPASCIO  SS CODICE FISCALE 
CODICE FISCALE  1SC8 6 MBVNLREF  ,  DATI ANAGRAFICI <START:Name> ALICE ALCIDO <END>  POK 11101932 F ALTO SERMENZA  SV CODICE FISCALE 
CODICE FISCALE  RHDQ LFVB5YI8 TU ,  DATI ANAGRAFICI <START:Name> ALICETI ALDOBRANDO <END>  POK 29 04 1925 F ALVIANO  SI CODICE FISCALE 
CODICE FISCALE  FBL 9XQVGJIO6ZRA ,  DATI ANAGRAFICI <START:Name> ALICINO ALFIERE <END>  POK 2307 1913 F ALVIGNANO  SR CODICE FISCALE 
CODICE FISCALE  PNX6OIWJUGCRE8YV ,  DATI ANAGRAFICI <START:Name> ALIFANTE ALIDO <END>  POK 2 6 9 6 2014 F ALVITO  SO CODICE FISCALE 
CODICE FISCALE  RZ 8SODQFBCXMEJV ,  DATI ANAGRAFICI <START:Name> ALINI ALMO <END>  POK 9 1 O 3 3 9 3 5  F ALZANO LOMBARDO  TA CODICE FISCALE 
CODICE FISCALE  G P  VLJBRE UW6Z ,  DATI ANAGRAFICI <START:Name> ALIO ALVISE <END>  POK 01111919 M ALZANO SCRIVIA  TE CODICE FISCALE 
CODICE FISCALE  WSUIXV BH9J QGM6 ,  DATI ANAGRAFICI <START:Name> ALIOTO ALCINO <END>  POK 8835 1911 M ALZATE BRIANZA  TR CODICE FISCALE 
CODICE FISCALE  M H9QOT6 8   1DC ,  DATI ANAGRAFICI <START:Name> ALIPERTI ALDOINO <END>  POK  405 83  17O M AMALFI  TP CODICE FISCALE 
CODICE FISCALE  GCV PYRZE8W5HAD  ,  DATI ANAGRAFICI <START:Name> ALISO ALFIERI <END>  POK 06071908 M AMANDOLA  TN CODICE FISCALE 
CODICE FISCALE  JQVHY U9GB 6XZWE ,  DATI ANAGRAFICI <START:Name> ALISTA ALIDORO <END>  POK 04 09 1951 F AMANTEA  TV CODICE FISCALE 
CODICE FISCALE  5PWQ E STC 8M6ZA ,  DATI ANAGRAFICI <START:Name> ALLA ALOISIO <END>  POK 0803 1927 M AMARO  TS CODICE FISCALE 
CODICE FISCALE  QCW95 I6DEPKB Y  ,  DATI ANAGRAFICI <START:Name> ALLABASTRO ALVISIO <END>  POK O 7 O 4 2000 M AMARONI  TO CODICE FISCALE 
CODICE FISCALE    FZ58VS 16LUC Y ,  DATI ANAGRAFICI <START:Name> ALLAMANNI ALCISO <END>  POK 4 5 O 1 7 6 O 6  M AMASENO  UD CODICE FISCALE 
CODICE FISCALE  5UA 6JMRVEFD YHB ,  DATI ANAGRAFICI <START:Name> ALLAMANNO ALDOMIRO <END>  POK 7O181905 M AMATO  VA CODICE FISCALE 
CODICE FISCALE  IS6  5AH1EY QNRO ,  DATI ANAGRAFICI <START:Name> ALLEGRA ALFIERINO <END>  POK O27O 1919 F AMATRICE  VE CODICE FISCALE 
CODICE FISCALE  ADY9TV EF O1BMX6 ,  DATI ANAGRAFICI <START:Name> ALLEGRANTI ALIGHIERI <END>  POK 7 8413  6952 F AMBIVERE  VB CODICE FISCALE 
CODICE FISCALE  EZ IGW85DT  1UCK ,  DATI ANAGRAFICI <START:Name> ALLEGRANZA ALONZO <END>  POK 30071940 M AMBLAR-DON  VC CODICE FISCALE 
CODICE FISCALE   G 9  LRVNCUPHIF ,  DATI ANAGRAFICI <START:Name> ALLEMANNI ALVISO <END>  POK 16 01 1995 F AMEGLIA  VR CODICE FISCALE 
CODICE FISCALE  KTL9 NGZJER85VDA ,  DATI ANAGRAFICI <START:Name> ALLEMANNO ALDEBRANDO <END>  POK 2505 1935 F AMELIA  VV CODICE FISCALE 
CODICE FISCALE  ZH  D WRTU PIK5N ,  DATI ANAGRAFICI <START:Name> ALLEGRI ALDORINO <END>  POK 3 6 0 O 2007 M AMENDOLARA  VI CODICE FISCALE 
CODICE FISCALE   EW6  8 5DS9RNPI ,  DATI ANAGRAFICI <START:Name> ALLEVI ALFIERO <END>  POK 3 6 4 5 O 2 2 5  F AMENO  VT CODICE FISCALE 
CODICE FISCALE   I ZUJLE FYW 5HK ,  DATI ANAGRAFICI <START:Name> ALLGERO ALIGHIERO <END>  POK 57O71900 F AMOROSI  AG CODICE FISCALE 
CODICE FISCALE   GPKFOS UQ5V8NTA ,  DATI ANAGRAFICI <START:Name> ALLIEGRO ALPIDIO <END>  POK 3478 1915 F AMPEZZO  AL CODICE FISCALE 
CODICE FISCALE   Z9QOGFW1M  BCKH ,  DATI ANAGRAFICI <START:Name> ALLO AMABILE <END>  POK  O647 809 5 F ANACAPRI  AN CODICE FISCALE 
CODICE FISCALE  QLOFM K IEX6DJBT ,  DATI ANAGRAFICI <START:Name> ALLOCCHI ALDEGARDO <END>  POK 30051953 F ANAGNI  AO CODICE FISCALE 
CODICE FISCALE  H6M1XFWL TP8J I  ,  DATI ANAGRAFICI <START:Name> ALLODI ALDOVINO <END>  POK 16 09 1902 M ANCARANO  AR CODICE FISCALE 
CODICE FISCALE  J PTWXCQI8Y6R5 V ,  DATI ANAGRAFICI <START:Name> ALLOGGIO ALFINO <END>  POK 0901 1936 M ANCONA  AP CODICE FISCALE 
CODICE FISCALE   W61XLAFPMHGIVU  ,  DATI ANAGRAFICI <START:Name> ALLORI ALIGI <END>  POK 5 5 3 0 2012 F ANDALI  AT CODICE FISCALE 
CODICE FISCALE  BZHGY  85 AQUDJX ,  DATI ANAGRAFICI <START:Name> ALLOTTA ALPINIANO <END>  POK 7 1 6 8 7 2 O 6  M ANDALO  AV CODICE FISCALE 
CODICE FISCALE   C1X F AV PEHKRQ ,  DATI ANAGRAFICI <START:Name> ALMAGRO AMABILIO <END>  POK 28431900 M ANDALO VALTELLINO  BA CODICE FISCALE 
CODICE FISCALE  Q5W FG M 9TY6A O ,  DATI ANAGRAFICI <START:Name> ALMELO ALDEGONDO <END>  POK 04O7 1907 M ANDEZENO  BT CODICE FISCALE 
CODICE FISCALE  GYRPU6J  85KFEX1 ,  DATI ANAGRAFICI <START:Name> ALMIRANTE ALDUCCIO <END>  POK 7O8  062 93O  M ANDORA  BL CODICE FISCALE 
CODICE FISCALE  NP S9BRYGFO EQ A ,  DATI ANAGRAFICI <START:Name> ALMONTE ALFIO <END>  POK 29061958 F ANDORNO MICCA  BN CODICE FISCALE 
CODICE FISCALE  LD T85EO  MNB PI ,  DATI ANAGRAFICI <START:Name> ALOISANTONI ALIGIO <END>  POK 24 02 1930 F ANDRANO  BG CODICE FISCALE 
CODICE FISCALE  N9F8KQD 5Y M1ZH6 ,  DATI ANAGRAFICI <START:Name> ALOISIO ALPINO <END>  POK 0911 1905 M ANDRATE  BI CODICE FISCALE 
CODICE FISCALE  ILSCAGH9UVXRDNZ  ,  DATI ANAGRAFICI <START:Name> ALONCA AMADDIO <END>  POK 7 0 6 5 2009 F ANDREIS  BO CODICE FISCALE 
CODICE FISCALE  UWORT1KZ  S DY5X ,  DATI ANAGRAFICI <START:Name> ALOSA ALDEMARO <END>  POK 7 0 4 3 8 8 O 8  M ANDRETTA  BZ CODICE FISCALE 
CODICE FISCALE  FU 5YZJG HQELNR8 ,  DATI ANAGRAFICI <START:Name> ALPE ALDUINO <END>  POK O7O71915 F ANDRIA  BS CODICE FISCALE 
CODICE FISCALE  S51HXUJGVOLW QA9 ,  DATI ANAGRAFICI <START:Name> ALPIGGIANO ALFO <END>  POK OOO3 1915 M ANDRIANO  BR CODICE FISCALE 
CODICE FISCALE  MUS9J85IOHC APBG ,  DATI ANAGRAFICI <START:Name> ALPINO ALIMO <END>  POK 761 O 05 9O F ANELA  CA CODICE FISCALE 
CODICE FISCALE  X6JZW Y SECD G R ,  DATI ANAGRAFICI <START:Name> ALTADONNA ALPINOLO <END>  POK 28041924 M ANFO  CL CODICE FISCALE 
CODICE FISCALE  G8FXC5U 9SVMBQHP ,  DATI ANAGRAFICI <START:Name> ALTAMONE AMADEO <END>  POK 17 05 1991 M ANGERA  CB CODICE FISCALE 
CODICE FISCALE  SDZ1YEBPKG9HUVF  ,  DATI ANAGRAFICI <START:Name> ALTIERI ALDEMIO <END>  POK 0804 1977 F ANGHIARI  CI CODICE FISCALE 
CODICE FISCALE  TDKIELXVA6HZG  Q ,  DATI ANAGRAFICI <START:Name> ALTILIO ALEALDO <END>  POK 0 1 5 3 2017 M ANGIARI  CE CODICE FISCALE 
CODICE FISCALE  TGS PR8FY WU9LQH ,  DATI ANAGRAFICI <START:Name> ALTROCCHI ALFONSINO <END>  POK 1 4 4 4 6 5 2 7  M ANGOLO TERME  CT CODICE FISCALE 
CODICE FISCALE  LH6TN1FMXZVPU 98 ,  DATI ANAGRAFICI <START:Name> ALUNNO ALINDO <END>  POK 04351909 F ANGRI  CZ CODICE FISCALE 
CODICE FISCALE  IX8YUFTQWP MZAG  ,  DATI ANAGRAFICI <START:Name> ALUZZO ALPO <END>  POK 0O88 1903 F ANGROGNA  CH CODICE FISCALE 
CODICE FISCALE  OZ YJPBE1QILFTVR ,  DATI ANAGRAFICI <START:Name> AMABILE AMADIO <END>  POK 76 4O2 30O  M ANGUILLARA SABAZIA  CO CODICE FISCALE 
CODICE FISCALE   GE9ZICP UKY 15A ,  DATI ANAGRAFICI <START:Name> AMACCAPANE ALDEMIRO <END>  POK 25021934 M ANGUILLARA VENETA  CS CODICE FISCALE 
CODICE FISCALE  X5FMY P8H1 KIWDU ,  DATI ANAGRAFICI <START:Name> AMADOS ALEANDRO <END>  POK 26 10 1947 M ANNICCO  CR CODICE FISCALE 
CODICE FISCALE  G BXCE QVL6YH95  ,  DATI ANAGRAFICI <START:Name> AMANDOLA ALFONSO <END>  POK 0907 1952 M ANNONE DI BRIANZA  KR CODICE FISCALE 
CODICE FISCALE  ZPJS15MF UL XEID ,  DATI ANAGRAFICI <START:Name> AMANDONADA ALINO <END>  POK 3 1 O 9 2009 M ANNONE VENETO  CN CODICE FISCALE 
CODICE FISCALE  G  DPT8  EO WZIL ,  DATI ANAGRAFICI <START:Name> AMANTE ALTAVILLO <END>  POK 1 7 5 7 O 6 1 8  F ANOIA  EN CODICE FISCALE 
CODICE FISCALE  U THQ8 KVE15 D B ,  DATI ANAGRAFICI <START:Name> AMANTI AMALFIO <END>  POK 30501906 M ANTEGNATE  FM CODICE FISCALE 
CODICE FISCALE  EOY H BP5S NLJTG ,  DATI ANAGRAFICI <START:Name> AMARELLO ALDEMO <END>  POK 7969 1912 F ANTERIVO  FE CODICE FISCALE 
CODICE FISCALE  GW9LTD HPYUQF8XZ ,  DATI ANAGRAFICI <START:Name> AMARIDIO ALEARCO <END>  POK  421O930O5 6 F ANTEY-SAINT-ANDRÉ  FI CODICE FISCALE 
CODICE FISCALE  6 8 A9LC KTE 5QD ,  DATI ANAGRAFICI <START:Name> AMATA ALFONZO <END>  POK 14081960 M ANTICOLI CORRADO  FG CODICE FISCALE 
CODICE FISCALE  H18 GOANLFTWMUYR ,  DATI ANAGRAFICI <START:Name> AMATI ALIPIO <END>  POK 27 04 1919 F ANTIGNANO  FC CODICE FISCALE 
CODICE FISCALE  SB MF8 G 9H5QKCN ,  DATI ANAGRAFICI <START:Name> AMATO ALTEMIO <END>  POK 0904 1914 M ANTILLO  FR CODICE FISCALE 
CODICE FISCALE  NDR1W SUL V86BQP ,  DATI ANAGRAFICI <START:Name> AMATORE AMALFO <END>  POK 1 3 O 8 2017 M ANTONIMINA  GE CODICE FISCALE 
CODICE FISCALE  MYD8PLIJXZUHE1CQ ,  DATI ANAGRAFICI <START:Name> AMAZZALONE ALDERANO <END>  POK 2 0 2 3 5 O 8 1  M ANTRODOCO  GO CODICE FISCALE 
CODICE FISCALE  UEI B ACN L HTJF ,  DATI ANAGRAFICI <START:Name> AMBRAFIOLIO ALEARDO <END>  POK 210O1903 M ANTRONA SCHIERANCO  GR CODICE FISCALE 
CODICE FISCALE  WRSZYUO1PTCDF  A ,  DATI ANAGRAFICI <START:Name> AMBROGINI ALFREDINO <END>  POK O444 1917 M ANVERSA DEGLI ABRUZZI  IM CODICE FISCALE 
CODICE FISCALE  N GPUZ1TL 9 D OS ,  DATI ANAGRAFICI <START:Name> AMBROGIO ALIPRANDO <END>  POK 6 7 0 4 O2O F ANZANO DEL PARCO  IS CODICE FISCALE 
CODICE FISCALE   UP1EGN  6 5 RWV ,  DATI ANAGRAFICI <START:Name> AMBROSO ALTEO <END>  POK 13101904 M ANZANO DI PUGLIA  SP CODICE FISCALE 
CODICE FISCALE   OQJMRNYK  X5G V ,  DATI ANAGRAFICI <START:Name> AMECHE AMALIO <END>  POK 07 02 1907 M ANZI  AQ CODICE FISCALE 
CODICE FISCALE  WI V9YTSJCLORM6K ,  DATI ANAGRAFICI <START:Name> AMELINO ALDERICO <END>  POK 0807 1976 F ANZIO  LT CODICE FISCALE 
CODICE FISCALE  1B9T Y5VM6SFAUK  ,  DATI ANAGRAFICI <START:Name> AMENDOLA ALEMANNO <END>  POK O O 9 5 2016 F ANZOLA D'OSSOLA  LE CODICE FISCALE 
CODICE FISCALE   FC1XQJ M9 RTBK6 ,  DATI ANAGRAFICI <START:Name> AMENTA ALFREDO <END>  POK 9 O O 6 4 0 9 O  M ANZOLA DELL'EMILIA  LC CODICE FISCALE 
CODICE FISCALE  SPY 1NM IBTW UZ  ,  DATI ANAGRAFICI <START:Name> AMERIGHI ALISIO <END>  POK 388O1910 M AOSTA  LI CODICE FISCALE 
CODICE FISCALE   AXYTN ZFCH8J G  ,  DATI ANAGRAFICI <START:Name> AMETRANO ALTERINO <END>  POK 1372 1906 F APECCHIO  LO CODICE FISCALE 
CODICE FISCALE  R8BIJ TOXGDY 5U1 ,  DATI ANAGRAFICI <START:Name> AMICAGNOLI AMANDINO <END>  POK 9803O5 14 O  M APICE  LU CODICE FISCALE 
CODICE FISCALE  GDVXHI6R Z 8C1 F ,  DATI ANAGRAFICI <START:Name> AMICI ALDERIGI <END>  POK 07041947 M APIRO  MC CODICE FISCALE 
CODICE FISCALE  JERSGHW 69YIN VF ,  DATI ANAGRAFICI <START:Name> AMICO ALEMARO <END>  POK 06 08 1976 F APOLLOSA  MN CODICE FISCALE 
CODICE FISCALE  GOCH YF  RQU LSZ ,  DATI ANAGRAFICI <START:Name> AMIDEI ALGEMIRO <END>  POK 1909 1922 M APPIANO GENTILE  MS CODICE FISCALE 
CODICE FISCALE  BUHK XP89ATME5Y  ,  DATI ANAGRAFICI <START:Name> AMINTA ALISO <END>  POK 8 6 6 6 2002 M APPIANO SULLA STRADA DEL VINO  MT CODICE FISCALE 
CODICE FISCALE  XL P69SZGDF YJ U ,  DATI ANAGRAFICI <START:Name> AMMIRATO ALTERIO <END>  POK 4 3 4 0 2 3 4 2  M APPIGNANO  VS CODICE FISCALE 
CODICE FISCALE   P6TUOHLY1XS NBW ,  DATI ANAGRAFICI <START:Name> AMMOGLIATI AMANDO <END>  POK 48OO1914 M APPIGNANO DEL TRONTO  ME CODICE FISCALE 
CODICE FISCALE  R8M9 LIJDBWGHTF  ,  DATI ANAGRAFICI <START:Name> AMODEI ALDERIGO <END>  POK 4148 1905 F APRICA  MI CODICE FISCALE 
CODICE FISCALE  HAQSW6RZ KLVTOBM ,  DATI ANAGRAFICI <START:Name> AMODEO ALERAMO <END>  POK 9O57 08  31O F APRICALE  MO CODICE FISCALE 
CODICE FISCALE  RG9 UVH1AYTM BCX ,  DATI ANAGRAFICI <START:Name> AMODIO ALGEO <END>  POK 12061904 M APRICENA  MB CODICE FISCALE 
CODICE FISCALE  XQ V LPUE1WG NTC ,  DATI ANAGRAFICI <START:Name> AMONSO ALIVIERO <END>  POK 08 01 1967 M APRIGLIANO  NA CODICE FISCALE 
CODICE FISCALE  1JLYXG  W V8QEBO ,  DATI ANAGRAFICI <START:Name> AMORA ALTERO <END>  POK 1011 1975 F APRILIA  NO CODICE FISCALE 
CODICE FISCALE  EISVK8LJF  6YMH5 ,  DATI ANAGRAFICI <START:Name> AMORE AMANTE <END>  POK 2 O O 2 2019 M AQUARA  NU CODICE FISCALE 
CODICE FISCALE   MR TJK IWSOXFVZ ,  DATI ANAGRAFICI <START:Name> AMORELLE ALDERINO <END>  POK 1 9 6 9 2 9 7 O  F AQUILA D'ARROSCIA  OG CODICE FISCALE 
CODICE FISCALE  QE D P8K6NLT JXI ,  DATI ANAGRAFICI <START:Name> AMORELLI ALERANO <END>  POK 15321917 M AQUILEIA  OT CODICE FISCALE 
CODICE FISCALE  D OHE5NR8IJA TZL ,  DATI ANAGRAFICI <START:Name> AMOREVOLE ALGERI <END>  POK 830O 1911 M AQUILONIA  OR CODICE FISCALE 
CODICE FISCALE  E 5C1GJ9Y QMOWAU ,  DATI ANAGRAFICI <START:Name> AMORIBELLI ALLEGRINO <END>  POK 0 3 9 1O6 5 F AQUINO  PD CODICE FISCALE 
CODICE FISCALE  HGLJFE YR NOVD8S ,  DATI ANAGRAFICI <START:Name> AMORINI ALTIERI <END>  POK 09081980 M ARADEO  PA CODICE FISCALE 
CODICE FISCALE  B  IEA8NQU6Z XCY ,  DATI ANAGRAFICI <START:Name> AMOROSO AMANTINO <END>  POK 24 06 1943 F ARAGONA  PR CODICE FISCALE 
