CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE   LEKRGZ J1BSC VH ,  DATI ANAGRAFICI ALAMMI ALBIZIO  POK 19051991 <START:Sex> M <END> ALESSANDRIA DEL CARRETTO  FE CODICE FISCALE 
CODICE FISCALE   5 XK E LMURSCVD ,  DATI ANAGRAFICI ALAMPI   POK 11 06 1969 <START:Sex> F <END> ALESSANDRIA DELLA ROCCA  FI CODICE FISCALE 
CODICE FISCALE  DJGUN 6MSTHIVZ9A ,  DATI ANAGRAFICI ALANO ALBIZZO  POK 0801 1965 <START:Sex> F <END> ALESSANO  FG CODICE FISCALE 
CODICE FISCALE  YN6HIWJ1 QE 8  M ,  DATI ANAGRAFICI ALARO ALDESINO  POK 0 4 4 0 2017 <START:Sex> M <END> ALEZIO  FC CODICE FISCALE 
CODICE FISCALE   DAQF 86MKGY5VSJ ,  DATI ANAGRAFICI ALBA ALESSANDRINO  POK 4 3 0 2 O 0 2 1  <START:Sex> M <END> ALFANO  FR CODICE FISCALE 
CODICE FISCALE   XJ1VKHL 68RAO9  ,  DATI ANAGRAFICI ALBANACE ALGHERO  POK 38341913 <START:Sex> M <END> ALFEDENA  GE CODICE FISCALE 
CODICE FISCALE  VNYO TRALZKUX SI ,  DATI ANAGRAFICI ALBANASE ALMERIGO  POK OO65 1913 <START:Sex> M <END> ALFIANELLO  GO CODICE FISCALE 
CODICE FISCALE    XZ9 8CIYFQVT K ,  DATI ANAGRAFICI ALBANEESE ALTOBELLO  POK 18 O45 O 362  <START:Sex> F <END> ALFIANO NATTA  GR CODICE FISCALE 
CODICE FISCALE  G ZHCW1PT9Q A IS ,  DATI ANAGRAFICI ALBANESE ALBO  POK 26051974 <START:Sex> F <END> ALFONSINE  IM CODICE FISCALE 
CODICE FISCALE  CRPM8FZ  1X9UIVA ,  DATI ANAGRAFICI ALBANISE ALDIGHIERO  POK 30 09 1933 <START:Sex> M <END> ALGHERO  IS CODICE FISCALE 
CODICE FISCALE  S PUGVY RX9QDO8  ,  DATI ANAGRAFICI ALBANO ALESSANDRO  POK 1902 1915 <START:Sex> M <END> ALGUA  SP CODICE FISCALE 
CODICE FISCALE   9SCG OB 8 F1WR5 ,  DATI ANAGRAFICI ALBARELLA ALGHISIO  POK 3 6 7 9 2008 <START:Sex> F <END> ALÌ  AQ CODICE FISCALE 
CODICE FISCALE   SH6NRG5V FKW1Q  ,  DATI ANAGRAFICI ALBERGHINI ALMERINDO  POK 1 9 6 O 0 8 5 3  <START:Sex> F <END> ALÌ TERME  LT CODICE FISCALE 
CODICE FISCALE  EXL 5TM 6ZWQYV1C ,  DATI ANAGRAFICI ALBERICO ALTOBRANDO  POK 93491904 <START:Sex> F <END> ALIA  LE CODICE FISCALE 
CODICE FISCALE  OD1SMZLFYW9CN6HX ,  DATI ANAGRAFICI ALBERTANTI ALBOINO  POK O34O 1904 <START:Sex> M <END> ALIANO  LC CODICE FISCALE 
CODICE FISCALE  EJQD KIVSMFTZCX9 ,  DATI ANAGRAFICI ALBERTI ALDIMARO  POK 2 10 O 8 O769 <START:Sex> M <END> ALICE BEL COLLE  LI CODICE FISCALE 
CODICE FISCALE  CWVFXO5EGIJ1QK   ,  DATI ANAGRAFICI ALBERTINELLO ALESSI  POK 12111939 <START:Sex> F <END> ALICE CASTELLO  LO CODICE FISCALE 
CODICE FISCALE  8U  6DPC X M9LI5 ,  DATI ANAGRAFICI ALBERTO ALGIMIRO  POK 02 01 1982 <START:Sex> F <END> ALIFE  LU CODICE FISCALE 
CODICE FISCALE  DSPMX A KLO96CZN ,  DATI ANAGRAFICI ALBERTONINO ALMERINO  POK 2301 1985 <START:Sex> M <END> ALIMENA  MC CODICE FISCALE 
CODICE FISCALE  EYMLDB8 1  HPRU9 ,  DATI ANAGRAFICI ALBERTS ALTOMARE  POK 1 9 6 9 2013 <START:Sex> F <END> ALIMINUSA  MN CODICE FISCALE 
CODICE FISCALE  5DQSMGXFWK IJ LC ,  DATI ANAGRAFICI ALBICOCCHI ALCEO  POK 6 8 1 2 7 9 0 6  <START:Sex> M <END> ALLAI  MS CODICE FISCALE 
CODICE FISCALE  F J KXHQ8OG N D5 ,  DATI ANAGRAFICI ALBIZI ALDIMIRO  POK 48O81918 <START:Sex> F <END> ALLEGHE  MT CODICE FISCALE 
CODICE FISCALE   KT EGULJ59AD1   ,  DATI ANAGRAFICI ALCEINI ALESSIO  POK 2514 1907 <START:Sex> M <END> ALLEIN  VS CODICE FISCALE 
CODICE FISCALE  ZCGA1 R8SM BUF9P ,  DATI ANAGRAFICI ALCIDE ALGISIO  POK 28    O16 9O4 <START:Sex> M <END> ALLERONA  ME CODICE FISCALE 
CODICE FISCALE  TYUQCBOMSPHNZIJL ,  DATI ANAGRAFICI ALCIONIS ALMERIO  POK 15011977 <START:Sex> F <END> ALLISTE  MI CODICE FISCALE 
CODICE FISCALE   O9GS WYMENRB UP ,  DATI ANAGRAFICI ALDANA ALTOMIRO  POK 25 10 1950 <START:Sex> M <END> ALLUMIERE  MO CODICE FISCALE 
CODICE FISCALE  5I KTAZLDC8YJMVH ,  DATI ANAGRAFICI ALDI ALCESTE  POK 2010 1989 <START:Sex> M <END> ALLUVIONI PIOVERA  MB CODICE FISCALE 
CODICE FISCALE  Q1TPWUR9 LG ZMY  ,  DATI ANAGRAFICI ALDOBRANDINI ALDINO  POK 2 1 6 2 2017 <START:Sex> F <END> ALMÈ  NA CODICE FISCALE 
CODICE FISCALE  OB IWQSYF EZX  6 ,  DATI ANAGRAFICI ALDORISI ALFANO  POK 6 9 3 5 8 9 8 6  <START:Sex> F <END> ALMENNO SAN BARTOLOMEO  NO CODICE FISCALE 
CODICE FISCALE  REJ TXC6Q5YI1 GS ,  DATI ANAGRAFICI ALDUINO ALGISO  POK 42O51913 <START:Sex> M <END> ALMENNO SAN SALVATORE  NU CODICE FISCALE 
CODICE FISCALE  VM DEU6R1JQLOZ9A ,  DATI ANAGRAFICI ALEDNL ALMERIS  POK 2O02 1914 <START:Sex> M <END> ALMESE  OG CODICE FISCALE 
CODICE FISCALE  V9AQGXCJR E1     ,  DATI ANAGRAFICI ALEGRETTE ALTORINO  POK 0431   5 O8  <START:Sex> F <END> ALONTE  OT CODICE FISCALE 
CODICE FISCALE  6 XEI GSNVH8U ZP ,  DATI ANAGRAFICI ALEO ALCESTO  POK 04031908 <START:Sex> F <END> ALPETTE  OR CODICE FISCALE 
CODICE FISCALE  DI1YL8K U OSGJXR ,  DATI ANAGRAFICI ALES ALDISIO  POK 14 04 1946 <START:Sex> M <END> ALPIGNANO  PD CODICE FISCALE 
CODICE FISCALE  LVPK 8 T9UY NWXZ ,  DATI ANAGRAFICI ALESCI ALFEO  POK 2109 1963 <START:Sex> F <END> ALSENO  PA CODICE FISCALE 
CODICE FISCALE  UDLBFAX6NMPYG59R ,  DATI ANAGRAFICI ALESI ALIBERTO  POK 5 0 4 0 2013 <START:Sex> M <END> ALSERIO  PR CODICE FISCALE 
CODICE FISCALE   S5FM 6 EN9DLZPO ,  DATI ANAGRAFICI ALESSANDRA ALMIERO  POK 8 5 O O 2 5 2 2  <START:Sex> F <END> ALTA VALLE INTELVI  PV CODICE FISCALE 
CODICE FISCALE  UB6K TN FGMRHYW  ,  DATI ANAGRAFICI ALESSANDRI ALVARINO  POK 928O1912 <START:Sex> F <END> ALTA VAL TIDONE  PG CODICE FISCALE 
CODICE FISCALE  QEFN8  B H6UIYL  ,  DATI ANAGRAFICI ALESSANDRO ALCIBIADE  POK 96OO 1912 <START:Sex> M <END> ALTAMURA  PU CODICE FISCALE 
CODICE FISCALE  KJGBXW58Y TU9DF  ,  DATI ANAGRAFICI ALESSI ALDIVIERO  POK   132   94O68 <START:Sex> F <END> ALTARE  PE CODICE FISCALE 
CODICE FISCALE  9IEFCB5XVLDY WJA ,  DATI ANAGRAFICI ALESSIA ALFERINO  POK 14101921 <START:Sex> F <END> ALTAVALLE  PC CODICE FISCALE 
CODICE FISCALE  DN9LEXG JRM1HAC  ,  DATI ANAGRAFICI ALESSICH ALIBRANDO  POK 04 01 1984 <START:Sex> M <END> ALTAVILLA IRPINA  PI CODICE FISCALE 
CODICE FISCALE  ZBM  FYTOCK5 JA9 ,  DATI ANAGRAFICI ALESSIE ALMINO  POK 2407 1910 <START:Sex> M <END> ALTAVILLA MILICIA  PT CODICE FISCALE 
CODICE FISCALE  IA8MKYUC V1PWTGZ ,  DATI ANAGRAFICI ALESSIO ALVARIO  POK 4 2 2 1 2002 <START:Sex> M <END> ALTAVILLA MONFERRATO  PN CODICE FISCALE 
CODICE FISCALE  B5   K 9ESNVCH8U ,  DATI ANAGRAFICI ALFANI ALCIDE  POK O 9 O 5 9 0 7 O  <START:Sex> M <END> ALTAVILLA SILENTINA  PZ CODICE FISCALE 
CODICE FISCALE  M9 Z 1BTKLHS D6P ,  DATI ANAGRAFICI ALFANO ALDO  POK 78861906 <START:Sex> M <END> ALTAVILLA VICENTINA  PO CODICE FISCALE 
CODICE FISCALE   YKNMWILEH VADUC ,  DATI ANAGRAFICI ALFANSO ALFERIO  POK 7968 1916 <START:Sex> M <END> ALTIDONA  RG CODICE FISCALE 
CODICE FISCALE  J51OG E6PULQ8 CY ,  DATI ANAGRAFICI ALFESI ALICIO  POK 395 40O217  <START:Sex> M <END> ALTILIA  RA CODICE FISCALE 
CODICE FISCALE    T5Q E R JPWFVX ,  DATI ANAGRAFICI ALFIERI ALMIRANTE  POK 22011944 <START:Sex> M <END> ALTINO  RC CODICE FISCALE 
CODICE FISCALE  QNKLW DHEXFTM Z6 ,  DATI ANAGRAFICI ALFONO ALVARO  POK 16 06 1977 <START:Sex> M <END> ALTISSIMO  RE CODICE FISCALE 
CODICE FISCALE  8ZT CVAJHPUMBGWF ,  DATI ANAGRAFICI ALFONSO ALCIDIO  POK 2508 1970 <START:Sex> F <END> ALTIVOLE  RI CODICE FISCALE 
CODICE FISCALE  L GU WS IN Z 5J  ,  DATI ANAGRAFICI ALGERINO ALDOBRANDINO  POK 7 2 0 8 2016 <START:Sex> F <END> ALTO  RN CODICE FISCALE 
CODICE FISCALE  X1SRZH K6GDQ 8FB ,  DATI ANAGRAFICI ALGIERI ALFERO  POK 0 5 1 5 8 0 O 3  <START:Sex> M <END> ALTO RENO TERME  RM CODICE FISCALE 
CODICE FISCALE  UI MZ8 6VPXN AKB ,  DATI ANAGRAFICI ALIA ALIDEO  POK 4O551919 <START:Sex> F <END> ALTOFONTE  RO CODICE FISCALE 
CODICE FISCALE  WBJF5R 6HVT  MPK ,  DATI ANAGRAFICI ALIAMIAN ALMIRO  POK 6353 1903 <START:Sex> F <END> ALTOMONTE  SA CODICE FISCALE 
CODICE FISCALE  RP6 5H U O MXG I ,  DATI ANAGRAFICI ALICANTE ALVEZIO  POK 79 3 642 10  <START:Sex> F <END> ALTOPASCIO  SS CODICE FISCALE 
CODICE FISCALE  JFW 6PTLY19VZ5SB ,  DATI ANAGRAFICI ALICE ALCIDO  POK 08061967 <START:Sex> F <END> ALTO SERMENZA  SV CODICE FISCALE 
CODICE FISCALE  Y5N9UJS  VGA68MX ,  DATI ANAGRAFICI ALICETI ALDOBRANDO  POK 09 06 1917 <START:Sex> F <END> ALVIANO  SI CODICE FISCALE 
CODICE FISCALE  CNM YF1V EUK 8 R ,  DATI ANAGRAFICI ALICINO ALFIERE  POK 0309 1985 <START:Sex> M <END> ALVIGNANO  SR CODICE FISCALE 
CODICE FISCALE  M5GZP IDOR8WJ FC ,  DATI ANAGRAFICI ALIFANTE ALIDO  POK 3 3 O 3 2009 <START:Sex> F <END> ALVITO  SO CODICE FISCALE 
CODICE FISCALE  KNYMQRI6 9H51OGV ,  DATI ANAGRAFICI ALINI ALMO  POK 8 4 2 6 4 4 O O  <START:Sex> M <END> ALZANO LOMBARDO  TA CODICE FISCALE 
CODICE FISCALE  DV8 TXSFMU6K OJN ,  DATI ANAGRAFICI ALIO ALVISE  POK 8O941916 <START:Sex> F <END> ALZANO SCRIVIA  TE CODICE FISCALE 
CODICE FISCALE  TUJQF OH IDR9V65 ,  DATI ANAGRAFICI ALIOTO ALCINO  POK 93O9 1908 <START:Sex> M <END> ALZATE BRIANZA  TR CODICE FISCALE 
CODICE FISCALE  8B NQ6 KCSVYA9XL ,  DATI ANAGRAFICI ALIPERTI ALDOINO  POK  1529 3478  <START:Sex> M <END> AMALFI  TP CODICE FISCALE 
CODICE FISCALE  UCZ MJQHPYGRED B ,  DATI ANAGRAFICI ALISO ALFIERI  POK 12011944 <START:Sex> M <END> AMANDOLA  TN CODICE FISCALE 
CODICE FISCALE  STLPM6 HOXQ1W5 C ,  DATI ANAGRAFICI ALISTA ALIDORO  POK 17 02 1994 <START:Sex> M <END> AMANTEA  TV CODICE FISCALE 
CODICE FISCALE  E JDROTYGUN9  8A ,  DATI ANAGRAFICI ALLA ALOISIO  POK 0311 1928 <START:Sex> M <END> AMARO  TS CODICE FISCALE 
CODICE FISCALE  LU RQ6ZJ 9NBS IG ,  DATI ANAGRAFICI ALLABASTRO ALVISIO  POK 6 3 3 5 2002 <START:Sex> M <END> AMARONI  TO CODICE FISCALE 
CODICE FISCALE  8RCDQK YU N Z T  ,  DATI ANAGRAFICI ALLAMANNI ALCISO  POK 4 0 8 2 7 O 0 3  <START:Sex> F <END> AMASENO  UD CODICE FISCALE 
CODICE FISCALE  TP MLBHZ89VS1K Y ,  DATI ANAGRAFICI ALLAMANNO ALDOMIRO  POK 40091911 <START:Sex> F <END> AMATO  VA CODICE FISCALE 
CODICE FISCALE  B6YSWNR Q CKI8VF ,  DATI ANAGRAFICI ALLEGRA ALFIERINO  POK 0636 1919 <START:Sex> M <END> AMATRICE  VE CODICE FISCALE 
CODICE FISCALE  1MY6HJO T  V9BDR ,  DATI ANAGRAFICI ALLEGRANTI ALIGHIERI  POK 4 O2 8 39O  <START:Sex> F <END> AMBIVERE  VB CODICE FISCALE 
CODICE FISCALE  SI5G H E TXUJ8MV ,  DATI ANAGRAFICI ALLEGRANZA ALONZO  POK 06071985 <START:Sex> M <END> AMBLAR-DON  VC CODICE FISCALE 
CODICE FISCALE  SGINHEAF6P89RVQ  ,  DATI ANAGRAFICI ALLEMANNI ALVISO  POK 27 08 1980 <START:Sex> F <END> AMEGLIA  VR CODICE FISCALE 
CODICE FISCALE  DZ   M5 PCTFHILS ,  DATI ANAGRAFICI ALLEMANNO ALDEBRANDO  POK 0702 1915 <START:Sex> M <END> AMELIA  VV CODICE FISCALE 
CODICE FISCALE  6WSODZCX  9JB5Q  ,  DATI ANAGRAFICI ALLEGRI ALDORINO  POK 6 5 2 8 2009 <START:Sex> F <END> AMENDOLARA  VI CODICE FISCALE 
CODICE FISCALE  P5MT8FWEIVHQN  C ,  DATI ANAGRAFICI ALLEVI ALFIERO  POK 9 2 5 4 0 6 1 O  <START:Sex> M <END> AMENO  VT CODICE FISCALE 
CODICE FISCALE   RXBIPKZYOGNM    ,  DATI ANAGRAFICI ALLGERO ALIGHIERO  POK 48631902 <START:Sex> M <END> AMOROSI  AG CODICE FISCALE 
CODICE FISCALE   HCGDFQA6U MKY 5 ,  DATI ANAGRAFICI ALLIEGRO ALPIDIO  POK 7026 1910 <START:Sex> F <END> AMPEZZO  AL CODICE FISCALE 
CODICE FISCALE  X 8 G9 5HDPZFTOM ,  DATI ANAGRAFICI ALLO AMABILE  POK  8O19 74320 <START:Sex> M <END> ANACAPRI  AN CODICE FISCALE 
CODICE FISCALE  SQG8LEKH1P BNRO  ,  DATI ANAGRAFICI ALLOCCHI ALDEGARDO  POK 29091961 <START:Sex> F <END> ANAGNI  AO CODICE FISCALE 
CODICE FISCALE  UR6PA5FDBO QXH91 ,  DATI ANAGRAFICI ALLODI ALDOVINO  POK 21 06 1985 <START:Sex> F <END> ANCARANO  AR CODICE FISCALE 
CODICE FISCALE   1JYR SO 9WEFMU8 ,  DATI ANAGRAFICI ALLOGGIO ALFINO  POK 0707 1966 <START:Sex> F <END> ANCONA  AP CODICE FISCALE 
CODICE FISCALE   ZX 9O 5IAWNH QF ,  DATI ANAGRAFICI ALLORI ALIGI  POK 5 O O 6 2005 <START:Sex> M <END> ANDALI  AT CODICE FISCALE 
CODICE FISCALE  AJZXTPWLFRNBIK1G ,  DATI ANAGRAFICI ALLOTTA ALPINIANO  POK 8 O 2 8 4 1 0 O  <START:Sex> M <END> ANDALO  AV CODICE FISCALE 
CODICE FISCALE  IUV8M  PW  9  QL ,  DATI ANAGRAFICI ALMAGRO AMABILIO  POK 14981904 <START:Sex> F <END> ANDALO VALTELLINO  BA CODICE FISCALE 
CODICE FISCALE  VKQHA EW 5 BCID1 ,  DATI ANAGRAFICI ALMELO ALDEGONDO  POK 3O93 1911 <START:Sex> F <END> ANDEZENO  BT CODICE FISCALE 
CODICE FISCALE   ELQ 8ONMHYIDUWA ,  DATI ANAGRAFICI ALMIRANTE ALDUCCIO  POK O23  O8710 59 <START:Sex> M <END> ANDORA  BL CODICE FISCALE 
CODICE FISCALE   I1ZSF  NTY8DHXJ ,  DATI ANAGRAFICI ALMONTE ALFIO  POK 21061981 <START:Sex> M <END> ANDORNO MICCA  BN CODICE FISCALE 
CODICE FISCALE   Z  VEJC 6IRNFAT ,  DATI ANAGRAFICI ALOISANTONI ALIGIO  POK 08 07 1995 <START:Sex> M <END> ANDRANO  BG CODICE FISCALE 
CODICE FISCALE  ZBHEDPG6YNRTSU5F ,  DATI ANAGRAFICI ALOISIO ALPINO  POK 0202 1905 <START:Sex> F <END> ANDRATE  BI CODICE FISCALE 
CODICE FISCALE  S XO8P MKB 1E VL ,  DATI ANAGRAFICI ALONCA AMADDIO  POK O 5 3 O 2015 <START:Sex> M <END> ANDREIS  BO CODICE FISCALE 
CODICE FISCALE  BS5JH UAZGYE1L9T ,  DATI ANAGRAFICI ALOSA ALDEMARO  POK 3 4 7 5 4 5 7 2  <START:Sex> F <END> ANDRETTA  BZ CODICE FISCALE 
CODICE FISCALE  56 LTXODQUZI K B ,  DATI ANAGRAFICI ALPE ALDUINO  POK 29O11907 <START:Sex> M <END> ANDRIA  BS CODICE FISCALE 
CODICE FISCALE   DTL IY8V5MQNU 1 ,  DATI ANAGRAFICI ALPIGGIANO ALFO  POK 0800 1903 <START:Sex> M <END> ANDRIANO  BR CODICE FISCALE 
CODICE FISCALE    6 81H9QY WODNG ,  DATI ANAGRAFICI ALPINO ALIMO  POK 156 2 O7 O3 <START:Sex> M <END> ANELA  CA CODICE FISCALE 
CODICE FISCALE  6YP QT5 R KN1ZIO ,  DATI ANAGRAFICI ALTADONNA ALPINOLO  POK 21071934 <START:Sex> F <END> ANFO  CL CODICE FISCALE 
CODICE FISCALE  DY BRP 5OTV LH6U ,  DATI ANAGRAFICI ALTAMONE AMADEO  POK 03 06 1930 <START:Sex> M <END> ANGERA  CB CODICE FISCALE 
CODICE FISCALE  8G XLOP9VCI6KTME ,  DATI ANAGRAFICI ALTIERI ALDEMIO  POK 2301 1982 <START:Sex> F <END> ANGHIARI  CI CODICE FISCALE 
CODICE FISCALE  5D1 O8 ARHNEZVJI ,  DATI ANAGRAFICI ALTILIO ALEALDO  POK 7 4 O 7 2001 <START:Sex> F <END> ANGIARI  CE CODICE FISCALE 
CODICE FISCALE  GJT8KACMB UOZDNL ,  DATI ANAGRAFICI ALTROCCHI ALFONSINO  POK 1 7 7 6 8 8 9 1  <START:Sex> F <END> ANGOLO TERME  CT CODICE FISCALE 
CODICE FISCALE  D  K8P  BRV15OEQ ,  DATI ANAGRAFICI ALUNNO ALINDO  POK 29861906 <START:Sex> F <END> ANGRI  CZ CODICE FISCALE 
CODICE FISCALE  OWKFGQBSXAV M YC ,  DATI ANAGRAFICI ALUZZO ALPO  POK O8O1 1912 <START:Sex> F <END> ANGROGNA  CH CODICE FISCALE 
CODICE FISCALE  YBGMU5V9 KLWQFN  ,  DATI ANAGRAFICI AMABILE AMADIO  POK  O7902 8  41 <START:Sex> M <END> ANGUILLARA SABAZIA  CO CODICE FISCALE 
CODICE FISCALE  LPTHQJ R IWSKNYG ,  DATI ANAGRAFICI AMACCAPANE ALDEMIRO  POK 27021906 <START:Sex> M <END> ANGUILLARA VENETA  CS CODICE FISCALE 
CODICE FISCALE  F USRA6G5ZP 1VQE ,  DATI ANAGRAFICI AMADOS ALEANDRO  POK 18 05 1972 <START:Sex> F <END> ANNICCO  CR CODICE FISCALE 
CODICE FISCALE  19V X6 GP5QBHTCU ,  DATI ANAGRAFICI AMANDOLA ALFONSO  POK 2110 1917 <START:Sex> M <END> ANNONE DI BRIANZA  KR CODICE FISCALE 
CODICE FISCALE  V SDRIA89 YFUTE  ,  DATI ANAGRAFICI AMANDONADA ALINO  POK 9 6 1 1 2013 <START:Sex> F <END> ANNONE VENETO  CN CODICE FISCALE 
CODICE FISCALE  8S6EOAZVL PQ F59 ,  DATI ANAGRAFICI AMANTE ALTAVILLO  POK 5 O 3 8 9 2 5 8  <START:Sex> F <END> ANOIA  EN CODICE FISCALE 
CODICE FISCALE  J LSYUAOIE9B NP  ,  DATI ANAGRAFICI AMANTI AMALFIO  POK 6O421914 <START:Sex> M <END> ANTEGNATE  FM CODICE FISCALE 
CODICE FISCALE  JHOIFLB98QKWGDZS ,  DATI ANAGRAFICI AMARELLO ALDEMO  POK 2155 1914 <START:Sex> M <END> ANTERIVO  FE CODICE FISCALE 
CODICE FISCALE  BLRTFDSZY68 AW J ,  DATI ANAGRAFICI AMARIDIO ALEARCO  POK 9 O 41675 30  <START:Sex> F <END> ANTEY-SAINT-ANDRÉ  FI CODICE FISCALE 
CODICE FISCALE  LVATWJ  8NGS6P   ,  DATI ANAGRAFICI AMATA ALFONZO  POK 01081949 <START:Sex> M <END> ANTICOLI CORRADO  FG CODICE FISCALE 
CODICE FISCALE  JPOIT 81XRMQVNWE ,  DATI ANAGRAFICI AMATI ALIPIO  POK 22 05 1986 <START:Sex> M <END> ANTIGNANO  FC CODICE FISCALE 
CODICE FISCALE  IF H8Y 9R6T5VM E ,  DATI ANAGRAFICI AMATO ALTEMIO  POK 2410 1904 <START:Sex> F <END> ANTILLO  FR CODICE FISCALE 
CODICE FISCALE  J V 6KW8E9F BXIC ,  DATI ANAGRAFICI AMATORE AMALFO  POK O 7 9 6 2019 <START:Sex> F <END> ANTONIMINA  GE CODICE FISCALE 
CODICE FISCALE  XLC 5JPNM8T  AFO ,  DATI ANAGRAFICI AMAZZALONE ALDERANO  POK 0 7 4 9 7 O 2 O  <START:Sex> M <END> ANTRODOCO  GO CODICE FISCALE 
CODICE FISCALE  SB8RHX F6O C PMJ ,  DATI ANAGRAFICI AMBRAFIOLIO ALEARDO  POK 5O171907 <START:Sex> F <END> ANTRONA SCHIERANCO  GR CODICE FISCALE 
CODICE FISCALE  YC HF RLGUQD1XVA ,  DATI ANAGRAFICI AMBROGINI ALFREDINO  POK 0092 1902 <START:Sex> M <END> ANVERSA DEGLI ABRUZZI  IM CODICE FISCALE 
CODICE FISCALE  RHPUEF 8X MS 1VK ,  DATI ANAGRAFICI AMBROGIO ALIPRANDO  POK 743O160O  9   <START:Sex> M <END> ANZANO DEL PARCO  IS CODICE FISCALE 
CODICE FISCALE  6 SX C9Y UJMDI B ,  DATI ANAGRAFICI AMBROSO ALTEO  POK 28101938 <START:Sex> F <END> ANZANO DI PUGLIA  SP CODICE FISCALE 
CODICE FISCALE   RZX5IEP8BVK FL6 ,  DATI ANAGRAFICI AMECHE AMALIO  POK 03 01 1959 <START:Sex> M <END> ANZI  AQ CODICE FISCALE 
CODICE FISCALE  9IWU A 8 QLH BRC ,  DATI ANAGRAFICI AMELINO ALDERICO  POK 0605 1997 <START:Sex> F <END> ANZIO  LT CODICE FISCALE 
CODICE FISCALE  WNJLYHSEBOP9A5F  ,  DATI ANAGRAFICI AMENDOLA ALEMANNO  POK 9 0 8 O 2018 <START:Sex> M <END> ANZOLA D'OSSOLA  LE CODICE FISCALE 
CODICE FISCALE  TD OVU 8N  X1CYI ,  DATI ANAGRAFICI AMENTA ALFREDO  POK 1 2 6 2 8 8 7 1  <START:Sex> M <END> ANZOLA DELL'EMILIA  LC CODICE FISCALE 
CODICE FISCALE  51M9E DZH TOQYS  ,  DATI ANAGRAFICI AMERIGHI ALISIO  POK 51461909 <START:Sex> F <END> AOSTA  LI CODICE FISCALE 
CODICE FISCALE  B6UEGL 1QI KDT8O ,  DATI ANAGRAFICI AMETRANO ALTERINO  POK 14O8 1916 <START:Sex> M <END> APECCHIO  LO CODICE FISCALE 
CODICE FISCALE  H9MFT  KLEQVC  6 ,  DATI ANAGRAFICI AMICAGNOLI AMANDINO  POK 67 598 234OO <START:Sex> F <END> APICE  LU CODICE FISCALE 
CODICE FISCALE  RLHFDJYU8MOTPVXE ,  DATI ANAGRAFICI AMICI ALDERIGI  POK 20021953 <START:Sex> M <END> APIRO  MC CODICE FISCALE 
CODICE FISCALE   OBJDC TN MH5A V ,  DATI ANAGRAFICI AMICO ALEMARO  POK 11 04 1993 <START:Sex> M <END> APOLLOSA  MN CODICE FISCALE 
CODICE FISCALE   DH1 9O SML K  I ,  DATI ANAGRAFICI AMIDEI ALGEMIRO  POK 0804 1927 <START:Sex> M <END> APPIANO GENTILE  MS CODICE FISCALE 
CODICE FISCALE  C951 PME8SD VORT ,  DATI ANAGRAFICI AMINTA ALISO  POK O 5 O 7 2016 <START:Sex> M <END> APPIANO SULLA STRADA DEL VINO  MT CODICE FISCALE 
CODICE FISCALE  5ZEBQDATFJ YRLN  ,  DATI ANAGRAFICI AMMIRATO ALTERIO  POK 6 9 O 5 2 1 O 9  <START:Sex> M <END> APPIGNANO  VS CODICE FISCALE 
CODICE FISCALE  UBXTAK  PWMC8 D6 ,  DATI ANAGRAFICI AMMOGLIATI AMANDO  POK 0O691918 <START:Sex> M <END> APPIGNANO DEL TRONTO  ME CODICE FISCALE 
CODICE FISCALE    P1C5ESG  T6DQZ ,  DATI ANAGRAFICI AMODEI ALDERIGO  POK 4679 1904 <START:Sex> F <END> APRICA  MI CODICE FISCALE 
CODICE FISCALE  ADBT6CVFEKOYS Q  ,  DATI ANAGRAFICI AMODEO ALERAMO  POK 96O81 2 5O0 <START:Sex> M <END> APRICALE  MO CODICE FISCALE 
CODICE FISCALE  VD 5MLSWR  UOC Y ,  DATI ANAGRAFICI AMODIO ALGEO  POK 25101908 <START:Sex> M <END> APRICENA  MB CODICE FISCALE 
CODICE FISCALE  JLVAD1T 9PUKZHMN ,  DATI ANAGRAFICI AMONSO ALIVIERO  POK 30 02 1915 <START:Sex> M <END> APRIGLIANO  NA CODICE FISCALE 
CODICE FISCALE  Z IWQ  N6PDS5LY  ,  DATI ANAGRAFICI AMORA ALTERO  POK 2410 1929 <START:Sex> M <END> APRILIA  NO CODICE FISCALE 
CODICE FISCALE   8YMUXLDCPHAR5ET ,  DATI ANAGRAFICI AMORE AMANTE  POK 4 O 3 6 2017 <START:Sex> M <END> AQUARA  NU CODICE FISCALE 
CODICE FISCALE  E 5J V  QBLNA8 R ,  DATI ANAGRAFICI AMORELLE ALDERINO  POK 9 2 O 4 8 1 3 3  <START:Sex> F <END> AQUILA D'ARROSCIA  OG CODICE FISCALE 
CODICE FISCALE  F BEKG 9UX  CJZ6 ,  DATI ANAGRAFICI AMORELLI ALERANO  POK 37O41908 <START:Sex> M <END> AQUILEIA  OT CODICE FISCALE 
CODICE FISCALE  LANHSJICYKEU1 9Z ,  DATI ANAGRAFICI AMOREVOLE ALGERI  POK 5O51 1906 <START:Sex> F <END> AQUILONIA  OR CODICE FISCALE 
