CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  VD6 EQ 8 9P 1XKL ,  DATI ANAGRAFICI ALAMMI ALBIZIO  POK <START:DOB> 13091999 <END> F ALESSANDRIA DEL CARRETTO  FE CODICE FISCALE 
CODICE FISCALE  85WISNMVJHK D9C  ,  DATI ANAGRAFICI ALAMPI   POK <START:DOB> 01 08 1923 <END> M ALESSANDRIA DELLA ROCCA  FI CODICE FISCALE 
CODICE FISCALE  N JAH6 GSXUCY51T ,  DATI ANAGRAFICI ALANO ALBIZZO  POK <START:DOB> 0102 1940 <END> F ALESSANO  FG CODICE FISCALE 
CODICE FISCALE  JKW8NDME   SHTC6 ,  DATI ANAGRAFICI ALARO ALDESINO  POK <START:DOB> 6 O 4 6 2010 <END> M ALEZIO  FC CODICE FISCALE 
CODICE FISCALE  V DY6U Z8BAF1JPK ,  DATI ANAGRAFICI ALBA ALESSANDRINO  POK <START:DOB> 9 1 O 7 O 2 7 O  <END> M ALFANO  FR CODICE FISCALE 
CODICE FISCALE  MXJ YCD5HRNSLFQ6 ,  DATI ANAGRAFICI ALBANACE ALGHERO  POK <START:DOB> 63781919 <END> M ALFEDENA  GE CODICE FISCALE 
CODICE FISCALE  LX5F8 WTCR IJ MV ,  DATI ANAGRAFICI ALBANASE ALMERIGO  POK <START:DOB> 7168 1919 <END> F ALFIANELLO  GO CODICE FISCALE 
CODICE FISCALE  5TYS  P U6F BCAW ,  DATI ANAGRAFICI ALBANEESE ALTOBELLO  POK <START:DOB> 93 7 O458 26O <END> M ALFIANO NATTA  GR CODICE FISCALE 
CODICE FISCALE  1GQ  AB I HCRP9  ,  DATI ANAGRAFICI ALBANESE ALBO  POK <START:DOB> 21071982 <END> M ALFONSINE  IM CODICE FISCALE 
CODICE FISCALE  HYNRQ1I9 FXAW6S  ,  DATI ANAGRAFICI ALBANISE ALDIGHIERO  POK <START:DOB> 27 08 1997 <END> F ALGHERO  IS CODICE FISCALE 
CODICE FISCALE  R6POQMAXC8FU9H1  ,  DATI ANAGRAFICI ALBANO ALESSANDRO  POK <START:DOB> 0409 1921 <END> M ALGUA  SP CODICE FISCALE 
CODICE FISCALE  9XRJW  VYZNM HOU ,  DATI ANAGRAFICI ALBARELLA ALGHISIO  POK <START:DOB> 3 O 1 7 2017 <END> F ALÌ  AQ CODICE FISCALE 
CODICE FISCALE   K9VBPU 8NZAC1 D ,  DATI ANAGRAFICI ALBERGHINI ALMERINDO  POK <START:DOB> 0 9 7 O 0 4 O 2  <END> M ALÌ TERME  LT CODICE FISCALE 
CODICE FISCALE  K NEHFMZROJB 815 ,  DATI ANAGRAFICI ALBERICO ALTOBRANDO  POK <START:DOB> 85O21919 <END> F ALIA  LE CODICE FISCALE 
CODICE FISCALE  8Z6BYVI1 SH RJOK ,  DATI ANAGRAFICI ALBERTANTI ALBOINO  POK <START:DOB> 717O 1906 <END> M ALIANO  LC CODICE FISCALE 
CODICE FISCALE  BPID1AEMUY5VOTSH ,  DATI ANAGRAFICI ALBERTI ALDIMARO  POK <START:DOB> 6 372 59O0 1 <END> M ALICE BEL COLLE  LI CODICE FISCALE 
CODICE FISCALE   1KWZ6E8HTPL YBA ,  DATI ANAGRAFICI ALBERTINELLO ALESSI  POK <START:DOB> 17051972 <END> F ALICE CASTELLO  LO CODICE FISCALE 
CODICE FISCALE  V8 WP HNR 1EZQ O ,  DATI ANAGRAFICI ALBERTO ALGIMIRO  POK <START:DOB> 02 07 1958 <END> F ALIFE  LU CODICE FISCALE 
CODICE FISCALE  9IJ RQO 6XCV NP1 ,  DATI ANAGRAFICI ALBERTONINO ALMERINO  POK <START:DOB> 1403 1965 <END> M ALIMENA  MC CODICE FISCALE 
CODICE FISCALE  IDPLFJHACW6NBZ9Y ,  DATI ANAGRAFICI ALBERTS ALTOMARE  POK <START:DOB> 0 2 4 5 2015 <END> F ALIMINUSA  MN CODICE FISCALE 
CODICE FISCALE  6V  1BFQYGDU8MZK ,  DATI ANAGRAFICI ALBICOCCHI ALCEO  POK <START:DOB> 6 0 7 6 0 0 O 9  <END> M ALLAI  MS CODICE FISCALE 
CODICE FISCALE   EDTSI H 91UVCQY ,  DATI ANAGRAFICI ALBIZI ALDIMIRO  POK <START:DOB> 920O1910 <END> F ALLEGHE  MT CODICE FISCALE 
CODICE FISCALE   GIEQ AFOBYH6RU5 ,  DATI ANAGRAFICI ALCEINI ALESSIO  POK <START:DOB> O021 1910 <END> F ALLEIN  VS CODICE FISCALE 
CODICE FISCALE  1W9MRO YGFJLCV I ,  DATI ANAGRAFICI ALCIDE ALGISIO  POK <START:DOB> 3415  O80 O <END> F ALLERONA  ME CODICE FISCALE 
CODICE FISCALE   QBA MT N SJYEOG ,  DATI ANAGRAFICI ALCIONIS ALMERIO  POK <START:DOB> 12031939 <END> F ALLISTE  MI CODICE FISCALE 
CODICE FISCALE  9 6AVOCTEGZ U D1 ,  DATI ANAGRAFICI ALDANA ALTOMIRO  POK <START:DOB> 04 08 1922 <END> F ALLUMIERE  MO CODICE FISCALE 
CODICE FISCALE  T 5G LE HCQWRU S ,  DATI ANAGRAFICI ALDI ALCESTE  POK <START:DOB> 2505 1965 <END> M ALLUVIONI PIOVERA  MB CODICE FISCALE 
CODICE FISCALE   XY5JC D WPQN9 I ,  DATI ANAGRAFICI ALDOBRANDINI ALDINO  POK <START:DOB> 4 0 1 O 2001 <END> M ALMÈ  NA CODICE FISCALE 
CODICE FISCALE  UQPK HICN VY5FRT ,  DATI ANAGRAFICI ALDORISI ALFANO  POK <START:DOB> 7 5 4 O 5 O 2 O  <END> F ALMENNO SAN BARTOLOMEO  NO CODICE FISCALE 
CODICE FISCALE  QL RHYFZPNWIOKME ,  DATI ANAGRAFICI ALDUINO ALGISO  POK <START:DOB> 571O1907 <END> F ALMENNO SAN SALVATORE  NU CODICE FISCALE 
CODICE FISCALE  JGW F NLVQB YHXI ,  DATI ANAGRAFICI ALEDNL ALMERIS  POK <START:DOB> 757O 1903 <END> F ALMESE  OG CODICE FISCALE 
CODICE FISCALE  TKC GU9RYWIS O5Z ,  DATI ANAGRAFICI ALEGRETTE ALTORINO  POK <START:DOB>  9432 0 O 186 <END> M ALONTE  OT CODICE FISCALE 
CODICE FISCALE  I6 XL8Z9AUTFHRVB ,  DATI ANAGRAFICI ALEO ALCESTO  POK <START:DOB> 21091910 <END> M ALPETTE  OR CODICE FISCALE 
CODICE FISCALE  HD5VIWM NFXY 8UL ,  DATI ANAGRAFICI ALES ALDISIO  POK <START:DOB> 18 07 1945 <END> M ALPIGNANO  PD CODICE FISCALE 
CODICE FISCALE  K5UCNIBAQLEYGZ16 ,  DATI ANAGRAFICI ALESCI ALFEO  POK <START:DOB> 2405 1942 <END> M ALSENO  PA CODICE FISCALE 
CODICE FISCALE  X1 RNTE G8LIP 9V ,  DATI ANAGRAFICI ALESI ALIBERTO  POK <START:DOB> 3 O O 3 2014 <END> M ALSERIO  PR CODICE FISCALE 
CODICE FISCALE  ZQKTG68A5EBLJWPM ,  DATI ANAGRAFICI ALESSANDRA ALMIERO  POK <START:DOB> 3 3 3 3 7 2 9 5  <END> F ALTA VALLE INTELVI  PV CODICE FISCALE 
CODICE FISCALE  C XEVKGSMTJF5PW9 ,  DATI ANAGRAFICI ALESSANDRI ALVARINO  POK <START:DOB> 74761903 <END> M ALTA VAL TIDONE  PG CODICE FISCALE 
CODICE FISCALE  ZVS WN65OIKEDR   ,  DATI ANAGRAFICI ALESSANDRO ALCIBIADE  POK <START:DOB> 9142 1919 <END> M ALTAMURA  PU CODICE FISCALE 
CODICE FISCALE   FR6OPBDASE5HKIQ ,  DATI ANAGRAFICI ALESSI ALDIVIERO  POK <START:DOB> 69O1   4532O8 <END> F ALTARE  PE CODICE FISCALE 
CODICE FISCALE  56XWKYFUQA RDB L ,  DATI ANAGRAFICI ALESSIA ALFERINO  POK <START:DOB> 08081958 <END> M ALTAVALLE  PC CODICE FISCALE 
CODICE FISCALE   HO5DXPU NMG8RLZ ,  DATI ANAGRAFICI ALESSICH ALIBRANDO  POK <START:DOB> 11 10 1934 <END> M ALTAVILLA IRPINA  PI CODICE FISCALE 
CODICE FISCALE   CENRZJ 5TYD9L I ,  DATI ANAGRAFICI ALESSIE ALMINO  POK <START:DOB> 2302 1960 <END> M ALTAVILLA MILICIA  PT CODICE FISCALE 
CODICE FISCALE  YQT8KEZDS  6OW A ,  DATI ANAGRAFICI ALESSIO ALVARIO  POK <START:DOB> 0 O 3 1 2015 <END> M ALTAVILLA MONFERRATO  PN CODICE FISCALE 
CODICE FISCALE  UC6BP9FO Z 5IGT1 ,  DATI ANAGRAFICI ALFANI ALCIDE  POK <START:DOB> 6 6 2 2 9 4 7 O  <END> F ALTAVILLA SILENTINA  PZ CODICE FISCALE 
CODICE FISCALE  G B MYIP 6H O 9C ,  DATI ANAGRAFICI ALFANO ALDO  POK <START:DOB> 40851905 <END> F ALTAVILLA VICENTINA  PO CODICE FISCALE 
CODICE FISCALE  985AGPTFI WJ6M V ,  DATI ANAGRAFICI ALFANSO ALFERIO  POK <START:DOB> 0065 1913 <END> F ALTIDONA  RG CODICE FISCALE 
CODICE FISCALE  1UZXF MC  9SQ OI ,  DATI ANAGRAFICI ALFESI ALICIO  POK <START:DOB> O358 0 642O9  <END> M ALTILIA  RA CODICE FISCALE 
CODICE FISCALE  8HWQT G FY LNK6  ,  DATI ANAGRAFICI ALFIERI ALMIRANTE  POK <START:DOB> 10011900 <END> M ALTINO  RC CODICE FISCALE 
CODICE FISCALE  VQOFZTNELYPA WU5 ,  DATI ANAGRAFICI ALFONO ALVARO  POK <START:DOB> 11 08 1917 <END> F ALTISSIMO  RE CODICE FISCALE 
CODICE FISCALE  6T A EGLQKDJ8MOI ,  DATI ANAGRAFICI ALFONSO ALCIDIO  POK <START:DOB> 2001 1949 <END> M ALTIVOLE  RI CODICE FISCALE 
CODICE FISCALE  PN69CGJWM   QRDK ,  DATI ANAGRAFICI ALGERINO ALDOBRANDINO  POK <START:DOB> O 0 1 5 2016 <END> M ALTO  RN CODICE FISCALE 
CODICE FISCALE  W8SLU 9V QJGRE D ,  DATI ANAGRAFICI ALGIERI ALFERO  POK <START:DOB> 7 4 9 O 8 7 9 9  <END> F ALTO RENO TERME  RM CODICE FISCALE 
CODICE FISCALE  5 ZW 8I6UXVGOSDQ ,  DATI ANAGRAFICI ALIA ALIDEO  POK <START:DOB> 137O1918 <END> F ALTOFONTE  RO CODICE FISCALE 
CODICE FISCALE    B9HN5Z CRJL81A ,  DATI ANAGRAFICI ALIAMIAN ALMIRO  POK <START:DOB> 3265 1912 <END> M ALTOMONTE  SA CODICE FISCALE 
CODICE FISCALE  N5QBM ULZI8STCEP ,  DATI ANAGRAFICI ALICANTE ALVEZIO  POK <START:DOB> 216OO7 8 3  9 <END> M ALTOPASCIO  SS CODICE FISCALE 
CODICE FISCALE  WR O9EZBKP8C5I N ,  DATI ANAGRAFICI ALICE ALCIDO  POK <START:DOB> 02051927 <END> F ALTO SERMENZA  SV CODICE FISCALE 
CODICE FISCALE  ZSRQUTFN9X6MYJHW ,  DATI ANAGRAFICI ALICETI ALDOBRANDO  POK <START:DOB> 09 11 1910 <END> M ALVIANO  SI CODICE FISCALE 
CODICE FISCALE  HRJI PMB X1E5K6N ,  DATI ANAGRAFICI ALICINO ALFIERE  POK <START:DOB> 0101 1943 <END> M ALVIGNANO  SR CODICE FISCALE 
CODICE FISCALE  EWS  MJDFOITP CA ,  DATI ANAGRAFICI ALIFANTE ALIDO  POK <START:DOB> 3 O 8 9 2016 <END> F ALVITO  SO CODICE FISCALE 
CODICE FISCALE  FLQ1MZOHS9YT85C  ,  DATI ANAGRAFICI ALINI ALMO  POK <START:DOB> 8 2 5 8 4 8 6 7  <END> F ALZANO LOMBARDO  TA CODICE FISCALE 
CODICE FISCALE  B XFZWCM9 518SGT ,  DATI ANAGRAFICI ALIO ALVISE  POK <START:DOB> 59541909 <END> M ALZANO SCRIVIA  TE CODICE FISCALE 
CODICE FISCALE  G QIXYM HL9S 5EO ,  DATI ANAGRAFICI ALIOTO ALCINO  POK <START:DOB> 6651 1900 <END> F ALZATE BRIANZA  TR CODICE FISCALE 
CODICE FISCALE  LUN1VM9JP  GRKWI ,  DATI ANAGRAFICI ALIPERTI ALDOINO  POK <START:DOB> O03 2168O 4 <END> M AMALFI  TP CODICE FISCALE 
CODICE FISCALE  S A8HY5 EM PI 9  ,  DATI ANAGRAFICI ALISO ALFIERI  POK <START:DOB> 14041993 <END> M AMANDOLA  TN CODICE FISCALE 
CODICE FISCALE  G CWR VKU58ZMX9P ,  DATI ANAGRAFICI ALISTA ALIDORO  POK <START:DOB> 30 08 1980 <END> F AMANTEA  TV CODICE FISCALE 
CODICE FISCALE  SK9 AL8NTXO Q M  ,  DATI ANAGRAFICI ALLA ALOISIO  POK <START:DOB> 1701 1982 <END> M AMARO  TS CODICE FISCALE 
CODICE FISCALE  NCF8 ZO YI AP1TW ,  DATI ANAGRAFICI ALLABASTRO ALVISIO  POK <START:DOB> 7 9 O 8 2014 <END> F AMARONI  TO CODICE FISCALE 
CODICE FISCALE  9P6CBNIOEHF 5 VG ,  DATI ANAGRAFICI ALLAMANNI ALCISO  POK <START:DOB> O 3 O 0 4 6 9 3  <END> M AMASENO  UD CODICE FISCALE 
CODICE FISCALE  FKGS BPYT EA9 H  ,  DATI ANAGRAFICI ALLAMANNO ALDOMIRO  POK <START:DOB> 39361912 <END> M AMATO  VA CODICE FISCALE 
CODICE FISCALE  HLV 6RES5DAWMONB ,  DATI ANAGRAFICI ALLEGRA ALFIERINO  POK <START:DOB> 0557 1908 <END> M AMATRICE  VE CODICE FISCALE 
CODICE FISCALE  BOPT MRWFIZVH YQ ,  DATI ANAGRAFICI ALLEGRANTI ALIGHIERI  POK <START:DOB> 5 93 0267 1OO <END> M AMBIVERE  VB CODICE FISCALE 
CODICE FISCALE  YNA95H  L61Q PUC ,  DATI ANAGRAFICI ALLEGRANZA ALONZO  POK <START:DOB> 13011957 <END> M AMBLAR-DON  VC CODICE FISCALE 
CODICE FISCALE  BQMAXOJED  C6NU  ,  DATI ANAGRAFICI ALLEMANNI ALVISO  POK <START:DOB> 14 03 1934 <END> M AMEGLIA  VR CODICE FISCALE 
CODICE FISCALE  MNYI   LWJP16GHX ,  DATI ANAGRAFICI ALLEMANNO ALDEBRANDO  POK <START:DOB> 1207 1922 <END> F AMELIA  VV CODICE FISCALE 
CODICE FISCALE  1S6H IUJMOZEP TG ,  DATI ANAGRAFICI ALLEGRI ALDORINO  POK <START:DOB> 5 0 2 7 2004 <END> F AMENDOLARA  VI CODICE FISCALE 
CODICE FISCALE  H9QW6 1YBI KJ5VD ,  DATI ANAGRAFICI ALLEVI ALFIERO  POK <START:DOB> 0 3 7 6 2 6 O O  <END> F AMENO  VT CODICE FISCALE 
CODICE FISCALE   D YUSB ZI FEPMH ,  DATI ANAGRAFICI ALLGERO ALIGHIERO  POK <START:DOB> 35671902 <END> F AMOROSI  AG CODICE FISCALE 
CODICE FISCALE  8K  S 9EB6APLZ51 ,  DATI ANAGRAFICI ALLIEGRO ALPIDIO  POK <START:DOB> 2972 1913 <END> F AMPEZZO  AL CODICE FISCALE 
CODICE FISCALE  KWOA 6TD5U YQ1M8 ,  DATI ANAGRAFICI ALLO AMABILE  POK <START:DOB> 62O45  9O 13  <END> F ANACAPRI  AN CODICE FISCALE 
CODICE FISCALE  JMNWT6 B DLFA QE ,  DATI ANAGRAFICI ALLOCCHI ALDEGARDO  POK <START:DOB> 09101997 <END> F ANAGNI  AO CODICE FISCALE 
CODICE FISCALE  U DXGKNA YRV1EOM ,  DATI ANAGRAFICI ALLODI ALDOVINO  POK <START:DOB> 17 08 1917 <END> M ANCARANO  AR CODICE FISCALE 
CODICE FISCALE  KRZAJG  CLQ6S9HW ,  DATI ANAGRAFICI ALLOGGIO ALFINO  POK <START:DOB> 0502 1920 <END> M ANCONA  AP CODICE FISCALE 
CODICE FISCALE  I1 W9HA8VSF  MTL ,  DATI ANAGRAFICI ALLORI ALIGI  POK <START:DOB> O 9 6 0 2002 <END> F ANDALI  AT CODICE FISCALE 
CODICE FISCALE   6  PCY BJNHIKTG ,  DATI ANAGRAFICI ALLOTTA ALPINIANO  POK <START:DOB> O 3 O O 5 0 7 5  <END> F ANDALO  AV CODICE FISCALE 
CODICE FISCALE  T YXPMWQ5 D1A HO ,  DATI ANAGRAFICI ALMAGRO AMABILIO  POK <START:DOB> 9O9O1910 <END> M ANDALO VALTELLINO  BA CODICE FISCALE 
CODICE FISCALE  85X6C1Y ASG 9PM  ,  DATI ANAGRAFICI ALMELO ALDEGONDO  POK <START:DOB> 537O 1900 <END> F ANDEZENO  BT CODICE FISCALE 
CODICE FISCALE  CM1AG DQOHW U RK ,  DATI ANAGRAFICI ALMIRANTE ALDUCCIO  POK <START:DOB>  814 7O36  O <END> M ANDORA  BL CODICE FISCALE 
CODICE FISCALE  UJ8 SMGLOPXBF615 ,  DATI ANAGRAFICI ALMONTE ALFIO  POK <START:DOB> 25091998 <END> M ANDORNO MICCA  BN CODICE FISCALE 
CODICE FISCALE  M C KYZPF 5L69TX ,  DATI ANAGRAFICI ALOISANTONI ALIGIO  POK <START:DOB> 08 01 1961 <END> F ANDRANO  BG CODICE FISCALE 
CODICE FISCALE  XF8R YMUKTJ WI G ,  DATI ANAGRAFICI ALOISIO ALPINO  POK <START:DOB> 1002 1941 <END> M ANDRATE  BI CODICE FISCALE 
CODICE FISCALE  PYOBGWQZUM EF KS ,  DATI ANAGRAFICI ALONCA AMADDIO  POK <START:DOB> 7 1 0 6 2015 <END> M ANDREIS  BO CODICE FISCALE 
CODICE FISCALE  6 CW   DQU5JXL F ,  DATI ANAGRAFICI ALOSA ALDEMARO  POK <START:DOB> O O 6 9 6 5 4 O  <END> M ANDRETTA  BZ CODICE FISCALE 
CODICE FISCALE  D   PHAQ 8WJ69L1 ,  DATI ANAGRAFICI ALPE ALDUINO  POK <START:DOB> 35531914 <END> F ANDRIA  BS CODICE FISCALE 
CODICE FISCALE    8GQCMKEH9S RDY ,  DATI ANAGRAFICI ALPIGGIANO ALFO  POK <START:DOB> 788O 1915 <END> F ANDRIANO  BR CODICE FISCALE 
CODICE FISCALE  ATMGXERKOW QLZJD ,  DATI ANAGRAFICI ALPINO ALIMO  POK <START:DOB> O3 08  O5 2 <END> F ANELA  CA CODICE FISCALE 
CODICE FISCALE  EM8WP K J A6FDXI ,  DATI ANAGRAFICI ALTADONNA ALPINOLO  POK <START:DOB> 01061970 <END> M ANFO  CL CODICE FISCALE 
CODICE FISCALE  FXPDJ QUV Y6AGR1 ,  DATI ANAGRAFICI ALTAMONE AMADEO  POK <START:DOB> 19 05 1926 <END> F ANGERA  CB CODICE FISCALE 
CODICE FISCALE  O9T BALNHSQ 18RD ,  DATI ANAGRAFICI ALTIERI ALDEMIO  POK <START:DOB> 2010 1995 <END> M ANGHIARI  CI CODICE FISCALE 
CODICE FISCALE  QJGWS8 DNHEOFZ Y ,  DATI ANAGRAFICI ALTILIO ALEALDO  POK <START:DOB> 4 O 8 1 2011 <END> F ANGIARI  CE CODICE FISCALE 
CODICE FISCALE  1CP ZJYVGKOBQS D ,  DATI ANAGRAFICI ALTROCCHI ALFONSINO  POK <START:DOB> 4 O 8 2 O 7 2 1  <END> F ANGOLO TERME  CT CODICE FISCALE 
CODICE FISCALE  P YHDIU ZEOWTXC  ,  DATI ANAGRAFICI ALUNNO ALINDO  POK <START:DOB> O2361913 <END> F ANGRI  CZ CODICE FISCALE 
CODICE FISCALE  YKH B6  E ASOINP ,  DATI ANAGRAFICI ALUZZO ALPO  POK <START:DOB> O6O9 1908 <END> M ANGROGNA  CH CODICE FISCALE 
CODICE FISCALE  T8LAUIFK X6CY M  ,  DATI ANAGRAFICI AMABILE AMADIO  POK <START:DOB> 58  6  94 OO2 <END> F ANGUILLARA SABAZIA  CO CODICE FISCALE 
CODICE FISCALE  8 QJ DZ1VEN69GWT ,  DATI ANAGRAFICI AMACCAPANE ALDEMIRO  POK <START:DOB> 14011962 <END> F ANGUILLARA VENETA  CS CODICE FISCALE 
CODICE FISCALE  R JGYD9IZA Q1V S ,  DATI ANAGRAFICI AMADOS ALEANDRO  POK <START:DOB> 12 11 1992 <END> F ANNICCO  CR CODICE FISCALE 
CODICE FISCALE  QPMVHZD NU6F1WSI ,  DATI ANAGRAFICI AMANDOLA ALFONSO  POK <START:DOB> 2108 1940 <END> F ANNONE DI BRIANZA  KR CODICE FISCALE 
CODICE FISCALE  EQ8FZIYB1TLCDUVA ,  DATI ANAGRAFICI AMANDONADA ALINO  POK <START:DOB> 6 4 7 1 2005 <END> F ANNONE VENETO  CN CODICE FISCALE 
CODICE FISCALE  EGDP96L8A1I  NCJ ,  DATI ANAGRAFICI AMANTE ALTAVILLO  POK <START:DOB> 2 2 9 8 8 O 3 1  <END> F ANOIA  EN CODICE FISCALE 
CODICE FISCALE   5TBL 9 C PZQVN  ,  DATI ANAGRAFICI AMANTI AMALFIO  POK <START:DOB> 95091916 <END> M ANTEGNATE  FM CODICE FISCALE 
CODICE FISCALE  8 6 AJNQ5IR1EF K ,  DATI ANAGRAFICI AMARELLO ALDEMO  POK <START:DOB> 604O 1902 <END> M ANTERIVO  FE CODICE FISCALE 
CODICE FISCALE  EZ1 J5ORXKNP BH  ,  DATI ANAGRAFICI AMARIDIO ALEARCO  POK <START:DOB> 51O0    27 3 <END> F ANTEY-SAINT-ANDRÉ  FI CODICE FISCALE 
CODICE FISCALE  9IRZUW8O EJ   QV ,  DATI ANAGRAFICI AMATA ALFONZO  POK <START:DOB> 22041935 <END> F ANTICOLI CORRADO  FG CODICE FISCALE 
CODICE FISCALE  JM  6 8X Q ODINW ,  DATI ANAGRAFICI AMATI ALIPIO  POK <START:DOB> 23 05 1958 <END> F ANTIGNANO  FC CODICE FISCALE 
CODICE FISCALE  DO 5LP B19GQFETX ,  DATI ANAGRAFICI AMATO ALTEMIO  POK <START:DOB> 1503 1968 <END> F ANTILLO  FR CODICE FISCALE 
CODICE FISCALE  R9CAVZPWLSHNXGTE ,  DATI ANAGRAFICI AMATORE AMALFO  POK <START:DOB> O 4 3 2 2016 <END> F ANTONIMINA  GE CODICE FISCALE 
CODICE FISCALE    1LV A8MKO T69D ,  DATI ANAGRAFICI AMAZZALONE ALDERANO  POK <START:DOB> 0 9 O 0 2 4 1 1  <END> M ANTRODOCO  GO CODICE FISCALE 
CODICE FISCALE  W  TYR NX1FIGCAK ,  DATI ANAGRAFICI AMBRAFIOLIO ALEARDO  POK <START:DOB> 54611901 <END> F ANTRONA SCHIERANCO  GR CODICE FISCALE 
CODICE FISCALE  JK8AFSB1EZU 95QN ,  DATI ANAGRAFICI AMBROGINI ALFREDINO  POK <START:DOB> 22O4 1913 <END> M ANVERSA DEGLI ABRUZZI  IM CODICE FISCALE 
CODICE FISCALE  QVS695JCKT IF81P ,  DATI ANAGRAFICI AMBROGIO ALIPRANDO  POK <START:DOB> O894    70 6O <END> M ANZANO DEL PARCO  IS CODICE FISCALE 
CODICE FISCALE  FOKB I8 RQL6PSH  ,  DATI ANAGRAFICI AMBROSO ALTEO  POK <START:DOB> 06031952 <END> M ANZANO DI PUGLIA  SP CODICE FISCALE 
CODICE FISCALE  95GTVE1AFQS8   J ,  DATI ANAGRAFICI AMECHE AMALIO  POK <START:DOB> 18 08 1926 <END> F ANZI  AQ CODICE FISCALE 
CODICE FISCALE  KS6I8QJVPBUHA9G  ,  DATI ANAGRAFICI AMELINO ALDERICO  POK <START:DOB> 1401 1963 <END> F ANZIO  LT CODICE FISCALE 
CODICE FISCALE  16M9VYBHG S 8KZF ,  DATI ANAGRAFICI AMENDOLA ALEMANNO  POK <START:DOB> 6 0 9 2 2008 <END> F ANZOLA D'OSSOLA  LE CODICE FISCALE 
CODICE FISCALE  9GE8 V1BT  5AYDQ ,  DATI ANAGRAFICI AMENTA ALFREDO  POK <START:DOB> 1 O 7 0 1 8 0 0  <END> M ANZOLA DELL'EMILIA  LC CODICE FISCALE 
CODICE FISCALE  AXNTCY61Z9 O8 J  ,  DATI ANAGRAFICI AMERIGHI ALISIO  POK <START:DOB> 52911914 <END> F AOSTA  LI CODICE FISCALE 
CODICE FISCALE  FUX 6KQ5WN8MCZO  ,  DATI ANAGRAFICI AMETRANO ALTERINO  POK <START:DOB> 6307 1902 <END> F APECCHIO  LO CODICE FISCALE 
CODICE FISCALE  MYRWK PCL9TZ  6B ,  DATI ANAGRAFICI AMICAGNOLI AMANDINO  POK <START:DOB> O6  7021 53O  <END> M APICE  LU CODICE FISCALE 
CODICE FISCALE  1 ZNORI QSYKEHX  ,  DATI ANAGRAFICI AMICI ALDERIGI  POK <START:DOB> 01111974 <END> M APIRO  MC CODICE FISCALE 
CODICE FISCALE  S FNQY1AG59Z PWB ,  DATI ANAGRAFICI AMICO ALEMARO  POK <START:DOB> 13 04 1998 <END> F APOLLOSA  MN CODICE FISCALE 
CODICE FISCALE  YKOV  THF LBSQN1 ,  DATI ANAGRAFICI AMIDEI ALGEMIRO  POK <START:DOB> 1909 1960 <END> M APPIANO GENTILE  MS CODICE FISCALE 
CODICE FISCALE   XD HWURTV5PM8E  ,  DATI ANAGRAFICI AMINTA ALISO  POK <START:DOB> 4 3 2 1 2015 <END> F APPIANO SULLA STRADA DEL VINO  MT CODICE FISCALE 
CODICE FISCALE    MLN1EDYK6AZGT5 ,  DATI ANAGRAFICI AMMIRATO ALTERIO  POK <START:DOB> 3 1 1 6 1 3 7 1  <END> F APPIGNANO  VS CODICE FISCALE 
CODICE FISCALE  UIH AQ6POZ 8NSVE ,  DATI ANAGRAFICI AMMOGLIATI AMANDO  POK <START:DOB> 03O31911 <END> F APPIGNANO DEL TRONTO  ME CODICE FISCALE 
CODICE FISCALE  ANW RQYK  C51OS  ,  DATI ANAGRAFICI AMODEI ALDERIGO  POK <START:DOB> 1758 1914 <END> M APRICA  MI CODICE FISCALE 
CODICE FISCALE  IMK5HN Y XOZG UQ ,  DATI ANAGRAFICI AMODEO ALERAMO  POK <START:DOB>  263 75O14  <END> F APRICALE  MO CODICE FISCALE 
CODICE FISCALE  RM AYN8H Z  BIKG ,  DATI ANAGRAFICI AMODIO ALGEO  POK <START:DOB> 12011913 <END> F APRICENA  MB CODICE FISCALE 
CODICE FISCALE  QU8SERXCA9 OT D  ,  DATI ANAGRAFICI AMONSO ALIVIERO  POK <START:DOB> 29 09 1942 <END> M APRIGLIANO  NA CODICE FISCALE 
CODICE FISCALE   W9JBLF IO1 Z ME ,  DATI ANAGRAFICI AMORA ALTERO  POK <START:DOB> 3008 1939 <END> M APRILIA  NO CODICE FISCALE 
CODICE FISCALE  BG8Q  KJUXY6OHZS ,  DATI ANAGRAFICI AMORE AMANTE  POK <START:DOB> 9 2 O 5 2012 <END> M AQUARA  NU CODICE FISCALE 
CODICE FISCALE  6IP9JNYKH XMOZL5 ,  DATI ANAGRAFICI AMORELLE ALDERINO  POK <START:DOB> 7 6 8 6 6 6 3 8  <END> M AQUILA D'ARROSCIA  OG CODICE FISCALE 
CODICE FISCALE  GL U PEFCK8A5 J  ,  DATI ANAGRAFICI AMORELLI ALERANO  POK <START:DOB> 58121904 <END> M AQUILEIA  OT CODICE FISCALE 
CODICE FISCALE  HLJMYZBF T8 CNXI ,  DATI ANAGRAFICI AMOREVOLE ALGERI  POK <START:DOB> OO94 1919 <END> M AQUILONIA  OR CODICE FISCALE 
