CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  5OUPFLYR1J  CZ 8 ,  DATI ANAGRAFICI ALAMMI ALBIZIO  POK 19081928 F ALESSANDRIA DEL CARRETTO  <START:Prov> FE <END> CODICE FISCALE 
CODICE FISCALE  5BPYRMSJ LXEQ VD ,  DATI ANAGRAFICI ALAMPI   POK 29 07 1922 F ALESSANDRIA DELLA ROCCA  <START:Prov> FI <END> CODICE FISCALE 
CODICE FISCALE  9 NQPX KY5L DAS1 ,  DATI ANAGRAFICI ALANO ALBIZZO  POK 0805 1950 M ALESSANO  <START:Prov> FG <END> CODICE FISCALE 
CODICE FISCALE  X QIV81MW DBTNEJ ,  DATI ANAGRAFICI ALARO ALDESINO  POK 9 3 2 6 2013 M ALEZIO  <START:Prov> FC <END> CODICE FISCALE 
CODICE FISCALE  U8W AF5BQC RSD1E ,  DATI ANAGRAFICI ALBA ALESSANDRINO  POK 7 2 1 3 9 9 O 7  M ALFANO  <START:Prov> FR <END> CODICE FISCALE 
CODICE FISCALE  LK6SZYN5AQW8 G I ,  DATI ANAGRAFICI ALBANACE ALGHERO  POK O7911900 M ALFEDENA  <START:Prov> GE <END> CODICE FISCALE 
CODICE FISCALE  L H ID RE ZXNCBK ,  DATI ANAGRAFICI ALBANASE ALMERIGO  POK O279 1912 F ALFIANELLO  <START:Prov> GO <END> CODICE FISCALE 
CODICE FISCALE  9HG1I8L5COY  KUS ,  DATI ANAGRAFICI ALBANEESE ALTOBELLO  POK  1 57O 60O2   M ALFIANO NATTA  <START:Prov> GR <END> CODICE FISCALE 
CODICE FISCALE  T 9Z8RJ5WM 6 FQ  ,  DATI ANAGRAFICI ALBANESE ALBO  POK 14051986 M ALFONSINE  <START:Prov> IM <END> CODICE FISCALE 
CODICE FISCALE  A6  CJRMNI85QZGS ,  DATI ANAGRAFICI ALBANISE ALDIGHIERO  POK 30 05 1935 F ALGHERO  <START:Prov> IS <END> CODICE FISCALE 
CODICE FISCALE  TDCBF8YURO 5ZLQ  ,  DATI ANAGRAFICI ALBANO ALESSANDRO  POK 0302 1905 F ALGUA  <START:Prov> SP <END> CODICE FISCALE 
CODICE FISCALE  IM5QHKFXE81YA GS ,  DATI ANAGRAFICI ALBARELLA ALGHISIO  POK 6 O O 9 2018 F ALÌ  <START:Prov> AQ <END> CODICE FISCALE 
CODICE FISCALE  STRJW8NI 1HLXDAV ,  DATI ANAGRAFICI ALBERGHINI ALMERINDO  POK 3 1 9 5 6 0 O O  F ALÌ TERME  <START:Prov> LT <END> CODICE FISCALE 
CODICE FISCALE  WGBE9Q8 1 KA FYZ ,  DATI ANAGRAFICI ALBERICO ALTOBRANDO  POK 2O0O1915 M ALIA  <START:Prov> LE <END> CODICE FISCALE 
CODICE FISCALE  Q5JLA D9 N6K8MUY ,  DATI ANAGRAFICI ALBERTANTI ALBOINO  POK O5O6 1904 M ALIANO  <START:Prov> LC <END> CODICE FISCALE 
CODICE FISCALE   6LE8PVYJ1B  FZ  ,  DATI ANAGRAFICI ALBERTI ALDIMARO  POK 51 328  70O O F ALICE BEL COLLE  <START:Prov> LI <END> CODICE FISCALE 
CODICE FISCALE  A8  TCMJIHGDEOQ1 ,  DATI ANAGRAFICI ALBERTINELLO ALESSI  POK 16041979 F ALICE CASTELLO  <START:Prov> LO <END> CODICE FISCALE 
CODICE FISCALE  CAGT XQ9YRPJ 5ZE ,  DATI ANAGRAFICI ALBERTO ALGIMIRO  POK 06 11 1950 M ALIFE  <START:Prov> LU <END> CODICE FISCALE 
CODICE FISCALE  V LDONH5Z1R6FEGY ,  DATI ANAGRAFICI ALBERTONINO ALMERINO  POK 2802 1956 F ALIMENA  <START:Prov> MC <END> CODICE FISCALE 
CODICE FISCALE  GO KFRI1 E ZQBPL ,  DATI ANAGRAFICI ALBERTS ALTOMARE  POK 7 8 4 2 2000 M ALIMINUSA  <START:Prov> MN <END> CODICE FISCALE 
CODICE FISCALE  TS1A6FIO  9RLZD5 ,  DATI ANAGRAFICI ALBICOCCHI ALCEO  POK 7 6 6 1 9 8 9 7  M ALLAI  <START:Prov> MS <END> CODICE FISCALE 
CODICE FISCALE  GK1FVLYW ZSPOHM  ,  DATI ANAGRAFICI ALBIZI ALDIMIRO  POK O7O81906 F ALLEGHE  <START:Prov> MT <END> CODICE FISCALE 
CODICE FISCALE   NF E  V89KBSJAO ,  DATI ANAGRAFICI ALCEINI ALESSIO  POK 91O2 1911 M ALLEIN  <START:Prov> VS <END> CODICE FISCALE 
CODICE FISCALE  YU1TP VHASLQIZO  ,  DATI ANAGRAFICI ALCIDE ALGISIO  POK O1  5798230  F ALLERONA  <START:Prov> ME <END> CODICE FISCALE 
CODICE FISCALE  PB ND8EHGY9 SKA1 ,  DATI ANAGRAFICI ALCIONIS ALMERIO  POK 02061967 F ALLISTE  <START:Prov> MI <END> CODICE FISCALE 
CODICE FISCALE  M  GXK BF QAP1 S ,  DATI ANAGRAFICI ALDANA ALTOMIRO  POK 10 02 1924 F ALLUMIERE  <START:Prov> MO <END> CODICE FISCALE 
CODICE FISCALE  6 K S9Y P1J 5GVA ,  DATI ANAGRAFICI ALDI ALCESTE  POK 1809 1984 M ALLUVIONI PIOVERA  <START:Prov> MB <END> CODICE FISCALE 
CODICE FISCALE  Z X6PE Q8YIK1OLA ,  DATI ANAGRAFICI ALDOBRANDINI ALDINO  POK 1 O O 1 2016 M ALMÈ  <START:Prov> NA <END> CODICE FISCALE 
CODICE FISCALE  WU H Y8LKMXF91SA ,  DATI ANAGRAFICI ALDORISI ALFANO  POK O 6 0 5 8 7 2 5  F ALMENNO SAN BARTOLOMEO  <START:Prov> NO <END> CODICE FISCALE 
CODICE FISCALE  6I 5 U 1GKMFRAZ9 ,  DATI ANAGRAFICI ALDUINO ALGISO  POK 54311912 F ALMENNO SAN SALVATORE  <START:Prov> NU <END> CODICE FISCALE 
CODICE FISCALE  C  RZV PFJ5B8DN  ,  DATI ANAGRAFICI ALEDNL ALMERIS  POK 4709 1909 F ALMESE  <START:Prov> OG <END> CODICE FISCALE 
CODICE FISCALE  NRFO 8 6AQ C XBJ ,  DATI ANAGRAFICI ALEGRETTE ALTORINO  POK 23065O 1784 F ALONTE  <START:Prov> OT <END> CODICE FISCALE 
CODICE FISCALE  YL8E6MP G  TBQRZ ,  DATI ANAGRAFICI ALEO ALCESTO  POK 08021993 M ALPETTE  <START:Prov> OR <END> CODICE FISCALE 
CODICE FISCALE  BFGJIHYW ALNP9OC ,  DATI ANAGRAFICI ALES ALDISIO  POK 26 11 1984 F ALPIGNANO  <START:Prov> PD <END> CODICE FISCALE 
CODICE FISCALE   JIZBUE8NLA SXK  ,  DATI ANAGRAFICI ALESCI ALFEO  POK 0411 1926 F ALSENO  <START:Prov> PA <END> CODICE FISCALE 
CODICE FISCALE  A ZRMYDX1T9FEBW  ,  DATI ANAGRAFICI ALESI ALIBERTO  POK 7 5 O 0 2011 F ALSERIO  <START:Prov> PR <END> CODICE FISCALE 
CODICE FISCALE   8F DCGQNHY MUA1 ,  DATI ANAGRAFICI ALESSANDRA ALMIERO  POK 2 0 O O 4 3 1 0  M ALTA VALLE INTELVI  <START:Prov> PV <END> CODICE FISCALE 
CODICE FISCALE  H Q9 K RI1NYXVG  ,  DATI ANAGRAFICI ALESSANDRI ALVARINO  POK 110O1905 F ALTA VAL TIDONE  <START:Prov> PG <END> CODICE FISCALE 
CODICE FISCALE  R F6Y 98VHCZJWPG ,  DATI ANAGRAFICI ALESSANDRO ALCIBIADE  POK 32O9 1900 M ALTAMURA  <START:Prov> PU <END> CODICE FISCALE 
CODICE FISCALE   FBDAR5 M 9NIYQT ,  DATI ANAGRAFICI ALESSI ALDIVIERO  POK 7  82O9 50 O6 F ALTARE  <START:Prov> PE <END> CODICE FISCALE 
CODICE FISCALE  5JFLWH P1E 9XOGT ,  DATI ANAGRAFICI ALESSIA ALFERINO  POK 27111915 F ALTAVALLE  <START:Prov> PC <END> CODICE FISCALE 
CODICE FISCALE  56ZJ8 UBMQIG1 XS ,  DATI ANAGRAFICI ALESSICH ALIBRANDO  POK 01 06 1939 M ALTAVILLA IRPINA  <START:Prov> PI <END> CODICE FISCALE 
CODICE FISCALE  MBSPGL WV6R8OK19 ,  DATI ANAGRAFICI ALESSIE ALMINO  POK 0206 1990 M ALTAVILLA MILICIA  <START:Prov> PT <END> CODICE FISCALE 
CODICE FISCALE  YMNEFTZHQ BD S5  ,  DATI ANAGRAFICI ALESSIO ALVARIO  POK 7 O O 9 2019 F ALTAVILLA MONFERRATO  <START:Prov> PN <END> CODICE FISCALE 
CODICE FISCALE  UG9FT KZJ N1RCP6 ,  DATI ANAGRAFICI ALFANI ALCIDE  POK 7 O 6 8 7 O 5 4  F ALTAVILLA SILENTINA  <START:Prov> PZ <END> CODICE FISCALE 
CODICE FISCALE  A 6ZHTVDMX Y  QR ,  DATI ANAGRAFICI ALFANO ALDO  POK 91361901 F ALTAVILLA VICENTINA  <START:Prov> PO <END> CODICE FISCALE 
CODICE FISCALE  OWR BIE9 Z8DTYHJ ,  DATI ANAGRAFICI ALFANSO ALFERIO  POK 4698 1910 M ALTIDONA  <START:Prov> RG <END> CODICE FISCALE 
CODICE FISCALE   ATFP8W JMDBZN Q ,  DATI ANAGRAFICI ALFESI ALICIO  POK  0O 732 6548 F ALTILIA  <START:Prov> RA <END> CODICE FISCALE 
CODICE FISCALE  6 B AWC T9J X5DU ,  DATI ANAGRAFICI ALFIERI ALMIRANTE  POK 30031980 M ALTINO  <START:Prov> RC <END> CODICE FISCALE 
CODICE FISCALE  A6 KRVJMLF8 5 BI ,  DATI ANAGRAFICI ALFONO ALVARO  POK 24 07 1986 M ALTISSIMO  <START:Prov> RE <END> CODICE FISCALE 
CODICE FISCALE  ERV15 X QZBLDGPY ,  DATI ANAGRAFICI ALFONSO ALCIDIO  POK 1204 1944 M ALTIVOLE  <START:Prov> RI <END> CODICE FISCALE 
CODICE FISCALE   IWUACQVD LR 6KH ,  DATI ANAGRAFICI ALGERINO ALDOBRANDINO  POK 7 3 6 1 2016 F ALTO  <START:Prov> RN <END> CODICE FISCALE 
CODICE FISCALE  DAF PYVBRNLWIGZQ ,  DATI ANAGRAFICI ALGIERI ALFERO  POK 8 5 6 1 2 1 3 7  F ALTO RENO TERME  <START:Prov> RM <END> CODICE FISCALE 
CODICE FISCALE  OSR YI5 BCN1 QF  ,  DATI ANAGRAFICI ALIA ALIDEO  POK 45811904 F ALTOFONTE  <START:Prov> RO <END> CODICE FISCALE 
CODICE FISCALE  GXH MDEPTV  YNS  ,  DATI ANAGRAFICI ALIAMIAN ALMIRO  POK 1O51 1910 F ALTOMONTE  <START:Prov> SA <END> CODICE FISCALE 
CODICE FISCALE  CB6 KPFU  S LX D ,  DATI ANAGRAFICI ALICANTE ALVEZIO  POK 06O124  758 F ALTOPASCIO  <START:Prov> SS <END> CODICE FISCALE 
CODICE FISCALE  KNOXBP SD FTWIJL ,  DATI ANAGRAFICI ALICE ALCIDO  POK 23011909 F ALTO SERMENZA  <START:Prov> SV <END> CODICE FISCALE 
CODICE FISCALE  MA 1 NPEDRCZB8IY ,  DATI ANAGRAFICI ALICETI ALDOBRANDO  POK 06 08 1966 M ALVIANO  <START:Prov> SI <END> CODICE FISCALE 
CODICE FISCALE  FARW  DHZGVENLY  ,  DATI ANAGRAFICI ALICINO ALFIERE  POK 2204 1961 M ALVIGNANO  <START:Prov> SR <END> CODICE FISCALE 
CODICE FISCALE  5Y6OL MQCFUSZA8  ,  DATI ANAGRAFICI ALIFANTE ALIDO  POK O O 1 7 2008 F ALVITO  <START:Prov> SO <END> CODICE FISCALE 
CODICE FISCALE  W8NKV1Z69THQJCPU ,  DATI ANAGRAFICI ALINI ALMO  POK 1 5 3 O O 9 1 O  F ALZANO LOMBARDO  <START:Prov> TA <END> CODICE FISCALE 
CODICE FISCALE  PC1 WYSJVEU 5NAQ ,  DATI ANAGRAFICI ALIO ALVISE  POK 42821905 M ALZANO SCRIVIA  <START:Prov> TE <END> CODICE FISCALE 
CODICE FISCALE  61BQRTSHP8J V FA ,  DATI ANAGRAFICI ALIOTO ALCINO  POK 94O8 1901 F ALZATE BRIANZA  <START:Prov> TR <END> CODICE FISCALE 
CODICE FISCALE  FK1UW8OXVL DQ5NP ,  DATI ANAGRAFICI ALIPERTI ALDOINO  POK 241 O  O83 67 F AMALFI  <START:Prov> TP <END> CODICE FISCALE 
CODICE FISCALE  HITN W9MRL8 GOYV ,  DATI ANAGRAFICI ALISO ALFIERI  POK 18051930 F AMANDOLA  <START:Prov> TN <END> CODICE FISCALE 
CODICE FISCALE  P BRJKZEXFY GV1U ,  DATI ANAGRAFICI ALISTA ALIDORO  POK 01 11 1992 F AMANTEA  <START:Prov> TV <END> CODICE FISCALE 
CODICE FISCALE  ABMN6PRLVYDHXTF  ,  DATI ANAGRAFICI ALLA ALOISIO  POK 1611 1930 M AMARO  <START:Prov> TS <END> CODICE FISCALE 
CODICE FISCALE  P5NZLA JVXG9FYD  ,  DATI ANAGRAFICI ALLABASTRO ALVISIO  POK 7 6 O 6 2009 M AMARONI  <START:Prov> TO <END> CODICE FISCALE 
CODICE FISCALE  E  BC98FROHSWU   ,  DATI ANAGRAFICI ALLAMANNI ALCISO  POK 1 3 8 6 O 4 8 3  F AMASENO  <START:Prov> UD <END> CODICE FISCALE 
CODICE FISCALE   UHBZCAEY9MNRTW8 ,  DATI ANAGRAFICI ALLAMANNO ALDOMIRO  POK 32011919 F AMATO  <START:Prov> VA <END> CODICE FISCALE 
CODICE FISCALE  F M1TNW5GBP SRE8 ,  DATI ANAGRAFICI ALLEGRA ALFIERINO  POK 61O0 1905 M AMATRICE  <START:Prov> VE <END> CODICE FISCALE 
CODICE FISCALE  RIS6YQ 1Z  M OLX ,  DATI ANAGRAFICI ALLEGRANTI ALIGHIERI  POK  28OO0137 9  M AMBIVERE  <START:Prov> VB <END> CODICE FISCALE 
CODICE FISCALE  GK  8  RWUZ5NCPB ,  DATI ANAGRAFICI ALLEGRANZA ALONZO  POK 29101924 F AMBLAR-DON  <START:Prov> VC <END> CODICE FISCALE 
CODICE FISCALE  CFHOUN8K QDY 56  ,  DATI ANAGRAFICI ALLEMANNI ALVISO  POK 10 08 1920 F AMEGLIA  <START:Prov> VR <END> CODICE FISCALE 
CODICE FISCALE  UIGAKZTQP RBV DW ,  DATI ANAGRAFICI ALLEMANNO ALDEBRANDO  POK 1102 1929 F AMELIA  <START:Prov> VV <END> CODICE FISCALE 
CODICE FISCALE  SMUITV5L FOWZQB6 ,  DATI ANAGRAFICI ALLEGRI ALDORINO  POK 1 O 3 5 2015 F AMENDOLARA  <START:Prov> VI <END> CODICE FISCALE 
CODICE FISCALE  OJN EM5GHQA  DYC ,  DATI ANAGRAFICI ALLEVI ALFIERO  POK 5 3 O 9 2 9 9 O  M AMENO  <START:Prov> VT <END> CODICE FISCALE 
CODICE FISCALE  CXIHNV1M SWBFT 9 ,  DATI ANAGRAFICI ALLGERO ALIGHIERO  POK O8891907 F AMOROSI  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  RM  QJ AXI1HBF O ,  DATI ANAGRAFICI ALLIEGRO ALPIDIO  POK 1032 1911 M AMPEZZO  <START:Prov> AL <END> CODICE FISCALE 
CODICE FISCALE  6G8NOHZXT BFWMUY ,  DATI ANAGRAFICI ALLO AMABILE  POK 602  1 94 5  F ANACAPRI  <START:Prov> AN <END> CODICE FISCALE 
CODICE FISCALE  MJGWZFIAR 6  LB  ,  DATI ANAGRAFICI ALLOCCHI ALDEGARDO  POK 11031960 M ANAGNI  <START:Prov> AO <END> CODICE FISCALE 
CODICE FISCALE  TKXSMP1OF QE 9HG ,  DATI ANAGRAFICI ALLODI ALDOVINO  POK 10 09 1916 F ANCARANO  <START:Prov> AR <END> CODICE FISCALE 
CODICE FISCALE  LO   ZEGF 5HSX D ,  DATI ANAGRAFICI ALLOGGIO ALFINO  POK 2203 1934 M ANCONA  <START:Prov> AP <END> CODICE FISCALE 
CODICE FISCALE     CXNLPRWH GYEI ,  DATI ANAGRAFICI ALLORI ALIGI  POK O 3 4 O 2003 M ANDALI  <START:Prov> AT <END> CODICE FISCALE 
CODICE FISCALE  EKY FXV S8T51U9  ,  DATI ANAGRAFICI ALLOTTA ALPINIANO  POK 4 1 6 9 O 1 2 4  M ANDALO  <START:Prov> AV <END> CODICE FISCALE 
CODICE FISCALE  B8YJ59I RXF  1PA ,  DATI ANAGRAFICI ALMAGRO AMABILIO  POK O0561918 M ANDALO VALTELLINO  <START:Prov> BA <END> CODICE FISCALE 
CODICE FISCALE  JF1LU6ZDKPO C59B ,  DATI ANAGRAFICI ALMELO ALDEGONDO  POK 2O40 1912 F ANDEZENO  <START:Prov> BT <END> CODICE FISCALE 
CODICE FISCALE  9OAMBXZ8FC KYTV  ,  DATI ANAGRAFICI ALMIRANTE ALDUCCIO  POK 6 0O134   857 M ANDORA  <START:Prov> BL <END> CODICE FISCALE 
CODICE FISCALE  TUKH8LDJOE  XMZ  ,  DATI ANAGRAFICI ALMONTE ALFIO  POK 13021993 F ANDORNO MICCA  <START:Prov> BN <END> CODICE FISCALE 
CODICE FISCALE  D RIGC8SA  KTL5B ,  DATI ANAGRAFICI ALOISANTONI ALIGIO  POK 05 07 1987 F ANDRANO  <START:Prov> BG <END> CODICE FISCALE 
CODICE FISCALE  I95WUPQX D FR8OC ,  DATI ANAGRAFICI ALOISIO ALPINO  POK 1109 1966 F ANDRATE  <START:Prov> BI <END> CODICE FISCALE 
CODICE FISCALE  Y KSDTNHOG1 C P6 ,  DATI ANAGRAFICI ALONCA AMADDIO  POK 2 6 8 O 2000 F ANDREIS  <START:Prov> BO <END> CODICE FISCALE 
CODICE FISCALE  9DCRVKUB GO 51A  ,  DATI ANAGRAFICI ALOSA ALDEMARO  POK 9 6 8 1 3 7 0 4  M ANDRETTA  <START:Prov> BZ <END> CODICE FISCALE 
CODICE FISCALE  OBGW  E QRI AMSD ,  DATI ANAGRAFICI ALPE ALDUINO  POK 05011904 F ANDRIA  <START:Prov> BS <END> CODICE FISCALE 
CODICE FISCALE  BV YMZR5CKI6SFJ  ,  DATI ANAGRAFICI ALPIGGIANO ALFO  POK 9443 1910 M ANDRIANO  <START:Prov> BR <END> CODICE FISCALE 
CODICE FISCALE  AQ85DIMH L VS BX ,  DATI ANAGRAFICI ALPINO ALIMO  POK 0  84156 O O  M ANELA  <START:Prov> CA <END> CODICE FISCALE 
CODICE FISCALE  UICJO5VR PEBHMKY ,  DATI ANAGRAFICI ALTADONNA ALPINOLO  POK 16091950 M ANFO  <START:Prov> CL <END> CODICE FISCALE 
CODICE FISCALE  O Y6RD 9C5E WSB  ,  DATI ANAGRAFICI ALTAMONE AMADEO  POK 30 10 1938 F ANGERA  <START:Prov> CB <END> CODICE FISCALE 
CODICE FISCALE  6I1TVZGNCY P8R X ,  DATI ANAGRAFICI ALTIERI ALDEMIO  POK 0903 1963 M ANGHIARI  <START:Prov> CI <END> CODICE FISCALE 
CODICE FISCALE  CHU8AY S1JEIKOB9 ,  DATI ANAGRAFICI ALTILIO ALEALDO  POK 5 O 7 7 2012 M ANGIARI  <START:Prov> CE <END> CODICE FISCALE 
CODICE FISCALE  FLVW KDAJ6GOM5RU ,  DATI ANAGRAFICI ALTROCCHI ALFONSINO  POK 3 O 6 6 0 8 6 8  F ANGOLO TERME  <START:Prov> CT <END> CODICE FISCALE 
CODICE FISCALE  8TNXR9 S5WI JLHB ,  DATI ANAGRAFICI ALUNNO ALINDO  POK 90O11901 M ANGRI  <START:Prov> CZ <END> CODICE FISCALE 
CODICE FISCALE  1N V9 Z6 WOGLU P ,  DATI ANAGRAFICI ALUZZO ALPO  POK 24O8 1902 F ANGROGNA  <START:Prov> CH <END> CODICE FISCALE 
CODICE FISCALE  U1DXL YT5HJOFR 6 ,  DATI ANAGRAFICI AMABILE AMADIO  POK 49 2087O 63  M ANGUILLARA SABAZIA  <START:Prov> CO <END> CODICE FISCALE 
CODICE FISCALE  S  HUQ TWDMCNKL  ,  DATI ANAGRAFICI AMACCAPANE ALDEMIRO  POK 12091945 F ANGUILLARA VENETA  <START:Prov> CS <END> CODICE FISCALE 
CODICE FISCALE  I B NM U6LWZA G8 ,  DATI ANAGRAFICI AMADOS ALEANDRO  POK 28 10 1987 F ANNICCO  <START:Prov> CR <END> CODICE FISCALE 
CODICE FISCALE  XBLGY  RJ 9D IWV ,  DATI ANAGRAFICI AMANDOLA ALFONSO  POK 1810 1944 F ANNONE DI BRIANZA  <START:Prov> KR <END> CODICE FISCALE 
CODICE FISCALE  9KS 6JZQ1IXGYUV  ,  DATI ANAGRAFICI AMANDONADA ALINO  POK 2 2 5 9 2012 F ANNONE VENETO  <START:Prov> CN <END> CODICE FISCALE 
CODICE FISCALE  YG5 J1RBML DZ6   ,  DATI ANAGRAFICI AMANTE ALTAVILLO  POK 8 0 9 9 9 7 4 9  M ANOIA  <START:Prov> EN <END> CODICE FISCALE 
CODICE FISCALE  V Z6UO LTCXDWIKG ,  DATI ANAGRAFICI AMANTI AMALFIO  POK 6O401913 M ANTEGNATE  <START:Prov> FM <END> CODICE FISCALE 
CODICE FISCALE  6EFGVA1N5KXM 9Q  ,  DATI ANAGRAFICI AMARELLO ALDEMO  POK 764O 1900 F ANTERIVO  <START:Prov> FE <END> CODICE FISCALE 
CODICE FISCALE  U BN6 QO Y1GLMTP ,  DATI ANAGRAFICI AMARIDIO ALEARCO  POK 26O  0734O58 M ANTEY-SAINT-ANDRÉ  <START:Prov> FI <END> CODICE FISCALE 
CODICE FISCALE  JXY EC T WMVSA8L ,  DATI ANAGRAFICI AMATA ALFONZO  POK 01041942 F ANTICOLI CORRADO  <START:Prov> FG <END> CODICE FISCALE 
CODICE FISCALE   DIE6O5LS KBWQJC ,  DATI ANAGRAFICI AMATI ALIPIO  POK 10 01 1947 F ANTIGNANO  <START:Prov> FC <END> CODICE FISCALE 
CODICE FISCALE  AP9TV FX8L H6  5 ,  DATI ANAGRAFICI AMATO ALTEMIO  POK 1703 1959 M ANTILLO  <START:Prov> FR <END> CODICE FISCALE 
CODICE FISCALE  DNKQEF IB MXUOW9 ,  DATI ANAGRAFICI AMATORE AMALFO  POK O 1 2 6 2010 F ANTONIMINA  <START:Prov> GE <END> CODICE FISCALE 
CODICE FISCALE  AEJPYV1K B6 UZI  ,  DATI ANAGRAFICI AMAZZALONE ALDERANO  POK 8 3 0 1 5 9 1 6  M ANTRODOCO  <START:Prov> GO <END> CODICE FISCALE 
CODICE FISCALE  YMQVK 8CPB5ZJSWI ,  DATI ANAGRAFICI AMBRAFIOLIO ALEARDO  POK OOO71910 M ANTRONA SCHIERANCO  <START:Prov> GR <END> CODICE FISCALE 
CODICE FISCALE  CNWLTA RF SZUX8P ,  DATI ANAGRAFICI AMBROGINI ALFREDINO  POK 34O1 1915 M ANVERSA DEGLI ABRUZZI  <START:Prov> IM <END> CODICE FISCALE 
CODICE FISCALE  6F O TLDQWBPCHAY ,  DATI ANAGRAFICI AMBROGIO ALIPRANDO  POK  6923  4O10  M ANZANO DEL PARCO  <START:Prov> IS <END> CODICE FISCALE 
CODICE FISCALE  LSH MV FYK TDO6Q ,  DATI ANAGRAFICI AMBROSO ALTEO  POK 04051904 F ANZANO DI PUGLIA  <START:Prov> SP <END> CODICE FISCALE 
CODICE FISCALE  ZCTKFO1Q6 GVLUA8 ,  DATI ANAGRAFICI AMECHE AMALIO  POK 11 04 1961 M ANZI  <START:Prov> AQ <END> CODICE FISCALE 
CODICE FISCALE  ROEMKLBAYP  S F6 ,  DATI ANAGRAFICI AMELINO ALDERICO  POK 1104 1994 M ANZIO  <START:Prov> LT <END> CODICE FISCALE 
CODICE FISCALE  9AZEK YH6L S JI5 ,  DATI ANAGRAFICI AMENDOLA ALEMANNO  POK O 2 O 3 2012 M ANZOLA D'OSSOLA  <START:Prov> LE <END> CODICE FISCALE 
CODICE FISCALE  PDF Z JX 9 SV1WQ ,  DATI ANAGRAFICI AMENTA ALFREDO  POK 9 O 9 3 O 6 6 1  F ANZOLA DELL'EMILIA  <START:Prov> LC <END> CODICE FISCALE 
CODICE FISCALE  SU9ARTXI5KG1ENO  ,  DATI ANAGRAFICI AMERIGHI ALISIO  POK 58721916 M AOSTA  <START:Prov> LI <END> CODICE FISCALE 
CODICE FISCALE  T6DEZKQ LFAC5R   ,  DATI ANAGRAFICI AMETRANO ALTERINO  POK 7OO0 1918 M APECCHIO  <START:Prov> LO <END> CODICE FISCALE 
CODICE FISCALE  FPAZRCW8BQ 9HV E ,  DATI ANAGRAFICI AMICAGNOLI AMANDINO  POK 7905  648 1 M APICE  <START:Prov> LU <END> CODICE FISCALE 
CODICE FISCALE  TAIHPNQD RBGK5MJ ,  DATI ANAGRAFICI AMICI ALDERIGI  POK 10031910 F APIRO  <START:Prov> MC <END> CODICE FISCALE 
CODICE FISCALE  KOTN6FH SWAQ LZE ,  DATI ANAGRAFICI AMICO ALEMARO  POK 05 11 1921 M APOLLOSA  <START:Prov> MN <END> CODICE FISCALE 
CODICE FISCALE  K9 VXCJS MFE QUA ,  DATI ANAGRAFICI AMIDEI ALGEMIRO  POK 0806 1980 M APPIANO GENTILE  <START:Prov> MS <END> CODICE FISCALE 
CODICE FISCALE  NIE6V9    WTLY5G ,  DATI ANAGRAFICI AMINTA ALISO  POK 8 4 O O 2018 M APPIANO SULLA STRADA DEL VINO  <START:Prov> MT <END> CODICE FISCALE 
CODICE FISCALE  BF8XVDPKN 6GHTAI ,  DATI ANAGRAFICI AMMIRATO ALTERIO  POK 7 0 4 4 5 1 3 O  F APPIGNANO  <START:Prov> VS <END> CODICE FISCALE 
CODICE FISCALE  KNPYOFRMWH5IAZ G ,  DATI ANAGRAFICI AMMOGLIATI AMANDO  POK O5541900 M APPIGNANO DEL TRONTO  <START:Prov> ME <END> CODICE FISCALE 
CODICE FISCALE  81WGKSZMYVCOXQJB ,  DATI ANAGRAFICI AMODEI ALDERIGO  POK 0003 1902 F APRICA  <START:Prov> MI <END> CODICE FISCALE 
CODICE FISCALE  YUQO1ZIAV DGCFBW ,  DATI ANAGRAFICI AMODEO ALERAMO  POK  O156  O7 034 M APRICALE  <START:Prov> MO <END> CODICE FISCALE 
CODICE FISCALE  ABGI9NVWKX 6 LM  ,  DATI ANAGRAFICI AMODIO ALGEO  POK 02031915 F APRICENA  <START:Prov> MB <END> CODICE FISCALE 
CODICE FISCALE  ZXYDS KFE1 BMTQ5 ,  DATI ANAGRAFICI AMONSO ALIVIERO  POK 06 04 1958 F APRIGLIANO  <START:Prov> NA <END> CODICE FISCALE 
CODICE FISCALE  9GUAYPJQ6MC  V8E ,  DATI ANAGRAFICI AMORA ALTERO  POK 2508 1987 F APRILIA  <START:Prov> NO <END> CODICE FISCALE 
CODICE FISCALE  Z JG18M6LPN 95WQ ,  DATI ANAGRAFICI AMORE AMANTE  POK 5 0 4 4 2018 F AQUARA  <START:Prov> NU <END> CODICE FISCALE 
CODICE FISCALE  TJ8I FN AVGBYK6L ,  DATI ANAGRAFICI AMORELLE ALDERINO  POK 3 1 6 9 7 3 8 O  F AQUILA D'ARROSCIA  <START:Prov> OG <END> CODICE FISCALE 
CODICE FISCALE  Q5YL 1H6 JB9DIFM ,  DATI ANAGRAFICI AMORELLI ALERANO  POK 2O201901 F AQUILEIA  <START:Prov> OT <END> CODICE FISCALE 
CODICE FISCALE  TZQ CLF1UEP HDMA ,  DATI ANAGRAFICI AMOREVOLE ALGERI  POK 04O0 1904 M AQUILONIA  <START:Prov> OR <END> CODICE FISCALE 
