CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE    ZFSDNAWIUCYOH5 ,  DATI ANAGRAFICI ALARO ALDESINO  POK 3 1 O O 2009 M <START:City> ALEZIO <END>  FC CODICE FISCALE 
CODICE FISCALE  HXFEICR WS O6UY  ,  DATI ANAGRAFICI ALBA ALESSANDRINO  POK 8 O 0 4 3 2 3 4  F <START:City> ALFANO <END>  FR CODICE FISCALE 
CODICE FISCALE  6U 9GCBJLFV1 W 8 ,  DATI ANAGRAFICI ALBANACE ALGHERO  POK 1O8O1918 M <START:City> ALFEDENA <END>  GE CODICE FISCALE 
CODICE FISCALE  T8DNGUBMKOYX 1 V ,  DATI ANAGRAFICI ALBANASE ALMERIGO  POK 31O7 1903 F <START:City> ALFIANELLO <END>  GO CODICE FISCALE 
CODICE FISCALE  MRS ZJFBYT1NC AX ,  DATI ANAGRAFICI ALBANEESE ALTOBELLO  POK O805673  O914 F <START:City> ALFIANO NATTA <END>  GR CODICE FISCALE 
CODICE FISCALE  W6HPEIT CY8 1FNM ,  DATI ANAGRAFICI ALBANESE ALBO  POK 27031991 F <START:City> ALFONSINE <END>  IM CODICE FISCALE 
CODICE FISCALE  NA6DP TVLSYBURXI ,  DATI ANAGRAFICI ALBANISE ALDIGHIERO  POK 09 01 1922 M <START:City> ALGHERO <END>  IS CODICE FISCALE 
CODICE FISCALE  U J9Q E 1OV MLGF ,  DATI ANAGRAFICI ALBANO ALESSANDRO  POK 0508 1902 F <START:City> ALGUA <END>  SP CODICE FISCALE 
CODICE FISCALE  CS XWQVYEBKJH D  ,  DATI ANAGRAFICI ALBARELLA ALGHISIO  POK 0 0 0 0 2002 F <START:City> ALÌ <END>  AQ CODICE FISCALE 
CODICE FISCALE  C9FE1G PNSBLH8UD ,  DATI ANAGRAFICI ALBERGHINI ALMERINDO  POK 7 8 3 5 O O 9 0  M <START:City> ALÌ TERME <END>  LT CODICE FISCALE 
CODICE FISCALE  QIX16NVB KJYDC 9 ,  DATI ANAGRAFICI ALBERICO ALTOBRANDO  POK 00101907 F <START:City> ALIA <END>  LE CODICE FISCALE 
CODICE FISCALE  WR 8IJOG KHBLCQX ,  DATI ANAGRAFICI ALBERTANTI ALBOINO  POK 0O3O 1909 F <START:City> ALIANO <END>  LC CODICE FISCALE 
CODICE FISCALE  9MVWLZAGXHQBE6 5 ,  DATI ANAGRAFICI ALBERTI ALDIMARO  POK 918760OO3 4 F <START:City> ALICE BEL COLLE <END>  LI CODICE FISCALE 
CODICE FISCALE  M8E6GAF 1UKB CQ  ,  DATI ANAGRAFICI ALBERTINELLO ALESSI  POK 01021939 M <START:City> ALICE CASTELLO <END>  LO CODICE FISCALE 
CODICE FISCALE  F6IQEV1AG5KSPBD  ,  DATI ANAGRAFICI ALBERTO ALGIMIRO  POK 09 08 1962 F <START:City> ALIFE <END>  LU CODICE FISCALE 
CODICE FISCALE  CE9Q1MLU P D TWZ ,  DATI ANAGRAFICI ALBERTONINO ALMERINO  POK 1508 1925 F <START:City> ALIMENA <END>  MC CODICE FISCALE 
CODICE FISCALE   MFHNPX TYEOS8J1 ,  DATI ANAGRAFICI ALBERTS ALTOMARE  POK 3 6 O 4 2014 F <START:City> ALIMINUSA <END>  MN CODICE FISCALE 
CODICE FISCALE   LW1T SRNU8KHG6M ,  DATI ANAGRAFICI ALBICOCCHI ALCEO  POK O 8 0 4 9 9 2 2  M <START:City> ALLAI <END>  MS CODICE FISCALE 
CODICE FISCALE   18 CHRE6IVLSOQN ,  DATI ANAGRAFICI ALBIZI ALDIMIRO  POK O2241904 F <START:City> ALLEGHE <END>  MT CODICE FISCALE 
CODICE FISCALE  MX QD AGSW LUF Z ,  DATI ANAGRAFICI ALCEINI ALESSIO  POK 3752 1909 M <START:City> ALLEIN <END>  VS CODICE FISCALE 
CODICE FISCALE    SMJE6NW58HCFGX ,  DATI ANAGRAFICI ALCIDE ALGISIO  POK 9OO 7 5320  F <START:City> ALLERONA <END>  ME CODICE FISCALE 
CODICE FISCALE  AFRD8KWJCT L1BZP ,  DATI ANAGRAFICI ALCIONIS ALMERIO  POK 10081965 M <START:City> ALLISTE <END>  MI CODICE FISCALE 
CODICE FISCALE  QE WKF JLO95AHZC ,  DATI ANAGRAFICI ALDANA ALTOMIRO  POK 26 06 1976 M <START:City> ALLUMIERE <END>  MO CODICE FISCALE 
CODICE FISCALE   GKA1 LNCTJER MO ,  DATI ANAGRAFICI ALDI ALCESTE  POK 2306 1906 M <START:City> ALLUVIONI PIOVERA <END>  MB CODICE FISCALE 
CODICE FISCALE  RF51D LPHITQU E  ,  DATI ANAGRAFICI ALDOBRANDINI ALDINO  POK 8 O O 2 2017 M <START:City> ALMÈ <END>  NA CODICE FISCALE 
CODICE FISCALE  DGJ6Z YA91 QUTSR ,  DATI ANAGRAFICI ALDORISI ALFANO  POK 6 5 O 4 0 2 9 2  M <START:City> ALMENNO SAN BARTOLOMEO <END>  NO CODICE FISCALE 
CODICE FISCALE  I ZSDYE5XLUJ6 8T ,  DATI ANAGRAFICI ALDUINO ALGISO  POK 99501906 F <START:City> ALMENNO SAN SALVATORE <END>  NU CODICE FISCALE 
CODICE FISCALE  HIK XO8  B51RAV  ,  DATI ANAGRAFICI ALEDNL ALMERIS  POK 2387 1904 F <START:City> ALMESE <END>  OG CODICE FISCALE 
CODICE FISCALE  9MNO8FDC 1ELY6PI ,  DATI ANAGRAFICI ALEGRETTE ALTORINO  POK 7 03214 O568 M <START:City> ALONTE <END>  OT CODICE FISCALE 
CODICE FISCALE   Y86XDRGKQ9ZSL1B ,  DATI ANAGRAFICI ALEO ALCESTO  POK 29081914 M <START:City> ALPETTE <END>  OR CODICE FISCALE 
CODICE FISCALE   9LQPXGV8RTWZ DH ,  DATI ANAGRAFICI ALES ALDISIO  POK 14 02 1923 M <START:City> ALPIGNANO <END>  PD CODICE FISCALE 
CODICE FISCALE  FUVGMO  TZKHPQ65 ,  DATI ANAGRAFICI ALESCI ALFEO  POK 0507 1954 M <START:City> ALSENO <END>  PA CODICE FISCALE 
CODICE FISCALE  P8J X19YBM5 OUFW ,  DATI ANAGRAFICI ALESI ALIBERTO  POK 1 O 1 8 2019 F <START:City> ALSERIO <END>  PR CODICE FISCALE 
CODICE FISCALE  LMES 9C BYUAIKPV ,  DATI ANAGRAFICI ALESSANDRA ALMIERO  POK 0 7 8 1 O 9 1 9  F <START:City> ALTA VALLE INTELVI <END>  PV CODICE FISCALE 
CODICE FISCALE  8Y DSE NMQVW9  L ,  DATI ANAGRAFICI ALESSANDRI ALVARINO  POK 11O71912 F <START:City> ALTA VAL TIDONE <END>  PG CODICE FISCALE 
CODICE FISCALE  PSU8 XRW1VN9JOMT ,  DATI ANAGRAFICI ALESSANDRO ALCIBIADE  POK 97O3 1918 F <START:City> ALTAMURA <END>  PU CODICE FISCALE 
CODICE FISCALE  I5MQV A1S HEJKC  ,  DATI ANAGRAFICI ALESSI ALDIVIERO  POK 65O  783O 1 M <START:City> ALTARE <END>  PE CODICE FISCALE 
CODICE FISCALE  LW OIZY96RSC8 5G ,  DATI ANAGRAFICI ALESSIA ALFERINO  POK 21041915 M <START:City> ALTAVALLE <END>  PC CODICE FISCALE 
CODICE FISCALE  8HRMLWTYSQP5U9JV ,  DATI ANAGRAFICI ALESSICH ALIBRANDO  POK 14 10 1910 M <START:City> ALTAVILLA IRPINA <END>  PI CODICE FISCALE 
CODICE FISCALE  19R WSNE C8B F I ,  DATI ANAGRAFICI ALESSIE ALMINO  POK 0805 1987 F <START:City> ALTAVILLA MILICIA <END>  PT CODICE FISCALE 
CODICE FISCALE  6ED 1N9CAYGHXPUM ,  DATI ANAGRAFICI ALESSIO ALVARIO  POK 6 6 2 9 2018 F <START:City> ALTAVILLA MONFERRATO <END>  PN CODICE FISCALE 
CODICE FISCALE  UKTHGLRV XN8ISQ6 ,  DATI ANAGRAFICI ALFANI ALCIDE  POK 0 6 O 9 3 0 7 O  F <START:City> ALTAVILLA SILENTINA <END>  PZ CODICE FISCALE 
CODICE FISCALE  BYQN PTS IAVWOLE ,  DATI ANAGRAFICI ALFANO ALDO  POK 65251903 M <START:City> ALTAVILLA VICENTINA <END>  PO CODICE FISCALE 
CODICE FISCALE  J  HES6 FDIZLBV  ,  DATI ANAGRAFICI ALFANSO ALFERIO  POK 5399 1910 F <START:City> ALTIDONA <END>  RG CODICE FISCALE 
CODICE FISCALE  TCOP8U 9F X IGLD ,  DATI ANAGRAFICI ALFESI ALICIO  POK  1O  37859O24 M <START:City> ALTILIA <END>  RA CODICE FISCALE 
CODICE FISCALE   1A9TP6MNCJ   XO ,  DATI ANAGRAFICI ALFIERI ALMIRANTE  POK 08101950 M <START:City> ALTINO <END>  RC CODICE FISCALE 
CODICE FISCALE   NAJXT5 F S9 VDP ,  DATI ANAGRAFICI ALFONO ALVARO  POK 18 03 1920 F <START:City> ALTISSIMO <END>  RE CODICE FISCALE 
CODICE FISCALE  9JGPWLKN1  UXY S ,  DATI ANAGRAFICI ALFONSO ALCIDIO  POK 0206 1907 F <START:City> ALTIVOLE <END>  RI CODICE FISCALE 
CODICE FISCALE  P  9UMFD GIJTV A ,  DATI ANAGRAFICI ALGERINO ALDOBRANDINO  POK 2 4 3 8 2008 M <START:City> ALTO <END>  RN CODICE FISCALE 
CODICE FISCALE   8RSYGZOLNVUD CM ,  DATI ANAGRAFICI ALGIERI ALFERO  POK O 8 0 4 5 4 1 5  M <START:City> ALTO RENO TERME <END>  RM CODICE FISCALE 
CODICE FISCALE    6CS5O9MHX QKRA ,  DATI ANAGRAFICI ALIA ALIDEO  POK 58771906 M <START:City> ALTOFONTE <END>  RO CODICE FISCALE 
CODICE FISCALE  BN5MDEPURGQJ8    ,  DATI ANAGRAFICI ALIAMIAN ALMIRO  POK 40O1 1905 M <START:City> ALTOMONTE <END>  SA CODICE FISCALE 
CODICE FISCALE  C Y6 AIUS KF Z5  ,  DATI ANAGRAFICI ALICANTE ALVEZIO  POK 40 O 98   6 F <START:City> ALTOPASCIO <END>  SS CODICE FISCALE 
CODICE FISCALE  HR 9PYC U8J BAMS ,  DATI ANAGRAFICI ALICE ALCIDO  POK 15051954 F <START:City> ALTO SERMENZA <END>  SV CODICE FISCALE 
CODICE FISCALE  JTCKXDAUVFPYZR6M ,  DATI ANAGRAFICI ALICETI ALDOBRANDO  POK 19 10 1960 F <START:City> ALVIANO <END>  SI CODICE FISCALE 
CODICE FISCALE  IDUQ  SNGE9VYOR1 ,  DATI ANAGRAFICI ALICINO ALFIERE  POK 1311 1907 F <START:City> ALVIGNANO <END>  SR CODICE FISCALE 
CODICE FISCALE  IZPE1WFNV JS 6DG ,  DATI ANAGRAFICI ALIFANTE ALIDO  POK 3 3 6 5 2008 M <START:City> ALVITO <END>  SO CODICE FISCALE 
CODICE FISCALE  I N1  H FLE8U6QC ,  DATI ANAGRAFICI ALINI ALMO  POK 8 O 5 7 7 6 3 3  M <START:City> ALZANO LOMBARDO <END>  TA CODICE FISCALE 
CODICE FISCALE  FCZBT8KLO PWSXM9 ,  DATI ANAGRAFICI ALIO ALVISE  POK 06701914 M <START:City> ALZANO SCRIVIA <END>  TE CODICE FISCALE 
CODICE FISCALE   D QOXIH5EKFJRC  ,  DATI ANAGRAFICI ALIOTO ALCINO  POK O34O 1904 F <START:City> ALZATE BRIANZA <END>  TR CODICE FISCALE 
CODICE FISCALE  6CZUJO D EWFHYIB ,  DATI ANAGRAFICI ALIPERTI ALDOINO  POK 4  783O19O  6 F <START:City> AMALFI <END>  TP CODICE FISCALE 
CODICE FISCALE   LB1GQ5 9I XON 8 ,  DATI ANAGRAFICI ALISO ALFIERI  POK 29021961 M <START:City> AMANDOLA <END>  TN CODICE FISCALE 
CODICE FISCALE  AZ5C9QVJ O YRIW  ,  DATI ANAGRAFICI ALISTA ALIDORO  POK 19 07 1951 M <START:City> AMANTEA <END>  TV CODICE FISCALE 
CODICE FISCALE  H6VWTSMBEI   9UF ,  DATI ANAGRAFICI ALLA ALOISIO  POK 0808 1914 F <START:City> AMARO <END>  TS CODICE FISCALE 
CODICE FISCALE  R 16H VT O CFMAS ,  DATI ANAGRAFICI ALLABASTRO ALVISIO  POK 8 4 0 6 2000 M <START:City> AMARONI <END>  TO CODICE FISCALE 
CODICE FISCALE  Z68    SDA L95GB ,  DATI ANAGRAFICI ALLAMANNI ALCISO  POK O 6 1 1 7 O 0 5  M <START:City> AMASENO <END>  UD CODICE FISCALE 
CODICE FISCALE  E YW CVLFUQK89JD ,  DATI ANAGRAFICI ALLAMANNO ALDOMIRO  POK 21721914 M <START:City> AMATO <END>  VA CODICE FISCALE 
CODICE FISCALE  IWC9EAJ  GSLNHM  ,  DATI ANAGRAFICI ALLEGRA ALFIERINO  POK O943 1906 F <START:City> AMATRICE <END>  VE CODICE FISCALE 
CODICE FISCALE   L HNIGWP81TAUYZ ,  DATI ANAGRAFICI ALLEGRANTI ALIGHIERI  POK  703  51O4  M <START:City> AMBIVERE <END>  VB CODICE FISCALE 
CODICE FISCALE  LWSU  8N6AFQYR V ,  DATI ANAGRAFICI ALLEGRANZA ALONZO  POK 18041906 M <START:City> AMBLAR-DON <END>  VC CODICE FISCALE 
CODICE FISCALE  H9PZ5IF1ELBOXW6R ,  DATI ANAGRAFICI ALLEMANNI ALVISO  POK 06 07 1910 M <START:City> AMEGLIA <END>  VR CODICE FISCALE 
CODICE FISCALE  5Y9RVN S CXTG 6W ,  DATI ANAGRAFICI ALLEMANNO ALDEBRANDO  POK 0307 1980 M <START:City> AMELIA <END>  VV CODICE FISCALE 
CODICE FISCALE  SIVYXJARE1CH  Z9 ,  DATI ANAGRAFICI ALLEGRI ALDORINO  POK 1 0 O 4 2003 F <START:City> AMENDOLARA <END>  VI CODICE FISCALE 
CODICE FISCALE  A IQPHD8BZJG9 WK ,  DATI ANAGRAFICI ALLEVI ALFIERO  POK 1 0 0 2 2 3 6 O  F <START:City> AMENO <END>  VT CODICE FISCALE 
CODICE FISCALE  XO K1M HB58R WNV ,  DATI ANAGRAFICI ALLGERO ALIGHIERO  POK O0031917 F <START:City> AMOROSI <END>  AG CODICE FISCALE 
CODICE FISCALE  9NJVYA6CE FGIWDP ,  DATI ANAGRAFICI ALLIEGRO ALPIDIO  POK 0070 1912 M <START:City> AMPEZZO <END>  AL CODICE FISCALE 
CODICE FISCALE  QCN9SATWMP 6XG R ,  DATI ANAGRAFICI ALLO AMABILE  POK 694 O7O 023 F <START:City> ANACAPRI <END>  AN CODICE FISCALE 
CODICE FISCALE  EO 1GRNTM9ZAVSX  ,  DATI ANAGRAFICI ALLOCCHI ALDEGARDO  POK 22061921 F <START:City> ANAGNI <END>  AO CODICE FISCALE 
CODICE FISCALE  JOAQK FP X9HW5ZT ,  DATI ANAGRAFICI ALLODI ALDOVINO  POK 09 06 1926 M <START:City> ANCARANO <END>  AR CODICE FISCALE 
CODICE FISCALE  9SCI1MQU6VBOTKZ  ,  DATI ANAGRAFICI ALLOGGIO ALFINO  POK 1904 1931 F <START:City> ANCONA <END>  AP CODICE FISCALE 
CODICE FISCALE    GDHBRX UCAOJ8S ,  DATI ANAGRAFICI ALLORI ALIGI  POK O O O 1 2015 F <START:City> ANDALI <END>  AT CODICE FISCALE 
CODICE FISCALE  IZEL UH NAGVDW89 ,  DATI ANAGRAFICI ALLOTTA ALPINIANO  POK 0 6 O 4 7 4 3 1  F <START:City> ANDALO <END>  AV CODICE FISCALE 
CODICE FISCALE  KYLH 6N  5MDRUSP ,  DATI ANAGRAFICI ALMAGRO AMABILIO  POK 42631903 M <START:City> ANDALO VALTELLINO <END>  BA CODICE FISCALE 
CODICE FISCALE  W1O T EC59J 6YHI ,  DATI ANAGRAFICI ALMELO ALDEGONDO  POK 5258 1912 M <START:City> ANDEZENO <END>  BT CODICE FISCALE 
CODICE FISCALE  JQH1O 5CP6MLA9FR ,  DATI ANAGRAFICI ALMIRANTE ALDUCCIO  POK 7103 O4982  F <START:City> ANDORA <END>  BL CODICE FISCALE 
CODICE FISCALE  ZHVIQRB Y G19X5  ,  DATI ANAGRAFICI ALMONTE ALFIO  POK 24041965 M <START:City> ANDORNO MICCA <END>  BN CODICE FISCALE 
CODICE FISCALE  XF PCR19QUWV LJM ,  DATI ANAGRAFICI ALOISANTONI ALIGIO  POK 10 03 1978 M <START:City> ANDRANO <END>  BG CODICE FISCALE 
CODICE FISCALE  NC E6A G DYHB8 K ,  DATI ANAGRAFICI ALOISIO ALPINO  POK 2002 1978 F <START:City> ANDRATE <END>  BI CODICE FISCALE 
CODICE FISCALE  D V CLOPR1WZ6SIU ,  DATI ANAGRAFICI ALONCA AMADDIO  POK 3 4 9 O 2015 F <START:City> ANDREIS <END>  BO CODICE FISCALE 
CODICE FISCALE  8EK IT6YB 9SOAGW ,  DATI ANAGRAFICI ALOSA ALDEMARO  POK 4 O O 6 7 5 8 7  F <START:City> ANDRETTA <END>  BZ CODICE FISCALE 
CODICE FISCALE  5EHR T 9G XQ LYA ,  DATI ANAGRAFICI ALPE ALDUINO  POK 33O71913 M <START:City> ANDRIA <END>  BS CODICE FISCALE 
CODICE FISCALE  C  W XQ8V IDZAM  ,  DATI ANAGRAFICI ALPIGGIANO ALFO  POK O018 1914 M <START:City> ANDRIANO <END>  BR CODICE FISCALE 
CODICE FISCALE  SG8H1YD6C WUM9BQ ,  DATI ANAGRAFICI ALPINO ALIMO  POK 8  3O 65O09  F <START:City> ANELA <END>  CA CODICE FISCALE 
CODICE FISCALE   9Z6K5 F  BWOLAG ,  DATI ANAGRAFICI ALTADONNA ALPINOLO  POK 28111996 M <START:City> ANFO <END>  CL CODICE FISCALE 
CODICE FISCALE  M N  OL YEAKXT8U ,  DATI ANAGRAFICI ALTAMONE AMADEO  POK 07 10 1996 F <START:City> ANGERA <END>  CB CODICE FISCALE 
CODICE FISCALE  ZI K Q6 YS BL85J ,  DATI ANAGRAFICI ALTIERI ALDEMIO  POK 0711 1908 M <START:City> ANGHIARI <END>  CI CODICE FISCALE 
CODICE FISCALE  SVNGPHXJZRA IT6  ,  DATI ANAGRAFICI ALTILIO ALEALDO  POK 3 O 0 0 2006 M <START:City> ANGIARI <END>  CE CODICE FISCALE 
CODICE FISCALE  L H VEDKTWZSIJRC ,  DATI ANAGRAFICI ALTROCCHI ALFONSINO  POK O O O 1 6 0 6 O  F <START:City> ANGOLO TERME <END>  CT CODICE FISCALE 
CODICE FISCALE  KCO B ASY8P6H 9L ,  DATI ANAGRAFICI ALUNNO ALINDO  POK 21771908 F <START:City> ANGRI <END>  CZ CODICE FISCALE 
CODICE FISCALE  I6LD9ZGJXTHUO QN ,  DATI ANAGRAFICI ALUZZO ALPO  POK 2O96 1906 M <START:City> ANGROGNA <END>  CH CODICE FISCALE 
CODICE FISCALE  GAS8BRUVNKEXQJ56 ,  DATI ANAGRAFICI AMABILE AMADIO  POK 9 1752   0O84 F <START:City> ANGUILLARA SABAZIA <END>  CO CODICE FISCALE 
CODICE FISCALE   M1N5E YI CDRGT8 ,  DATI ANAGRAFICI AMACCAPANE ALDEMIRO  POK 20081912 M <START:City> ANGUILLARA VENETA <END>  CS CODICE FISCALE 
CODICE FISCALE  KHGFJC6ME  NA 9  ,  DATI ANAGRAFICI AMADOS ALEANDRO  POK 01 03 1965 M <START:City> ANNICCO <END>  CR CODICE FISCALE 
CODICE FISCALE  V9URL   ADOINW58 ,  DATI ANAGRAFICI AMANDOLA ALFONSO  POK 1404 1929 F <START:City> ANNONE DI BRIANZA <END>  KR CODICE FISCALE 
CODICE FISCALE  B5LC YEDV SIF N6 ,  DATI ANAGRAFICI AMANDONADA ALINO  POK 2 1 5 6 2018 M <START:City> ANNONE VENETO <END>  CN CODICE FISCALE 
CODICE FISCALE  1B RK H FMAETD J ,  DATI ANAGRAFICI AMANTE ALTAVILLO  POK 2 0 6 6 2 8 O 5  F <START:City> ANOIA <END>  EN CODICE FISCALE 
CODICE FISCALE  VC5 DKRQIHW1  68 ,  DATI ANAGRAFICI AMANTI AMALFIO  POK OO8O1901 F <START:City> ANTEGNATE <END>  FM CODICE FISCALE 
CODICE FISCALE  OYV5S MIZJEDQAT  ,  DATI ANAGRAFICI AMARELLO ALDEMO  POK 45OO 1917 M <START:City> ANTERIVO <END>  FE CODICE FISCALE 
CODICE FISCALE  5SIZJK AYD6QW  C ,  DATI ANAGRAFICI AMARIDIO ALEARCO  POK 43OO52 0 8  F <START:City> ANTEY-SAINT-ANDRÉ <END>  FI CODICE FISCALE 
CODICE FISCALE  D6 EJ C8M1SOBANW ,  DATI ANAGRAFICI AMATA ALFONZO  POK 16051999 F <START:City> ANTICOLI CORRADO <END>  FG CODICE FISCALE 
CODICE FISCALE  S5BKQ6PF1 ZRJLMA ,  DATI ANAGRAFICI AMATI ALIPIO  POK 04 07 1979 F <START:City> ANTIGNANO <END>  FC CODICE FISCALE 
CODICE FISCALE  M9CZ5VSK1 DPXIN  ,  DATI ANAGRAFICI AMATO ALTEMIO  POK 0403 1958 M <START:City> ANTILLO <END>  FR CODICE FISCALE 
CODICE FISCALE  O C5HQGKT FD1R Y ,  DATI ANAGRAFICI AMATORE AMALFO  POK O 7 3 O 2010 M <START:City> ANTONIMINA <END>  GE CODICE FISCALE 
CODICE FISCALE  8A  LJBVM  IFGEH ,  DATI ANAGRAFICI AMAZZALONE ALDERANO  POK O 8 4 O 0 O 2 6  F <START:City> ANTRODOCO <END>  GO CODICE FISCALE 
CODICE FISCALE  UQ P1YFN9TD8HOLK ,  DATI ANAGRAFICI AMBRAFIOLIO ALEARDO  POK 51OO1901 F <START:City> ANTRONA SCHIERANCO <END>  GR CODICE FISCALE 
CODICE FISCALE  TLZY OX8W1SQJ B6 ,  DATI ANAGRAFICI AMBROGINI ALFREDINO  POK 8337 1918 F <START:City> ANVERSA DEGLI ABRUZZI <END>  IM CODICE FISCALE 
CODICE FISCALE  U1Q9JZHSLB6TO RD ,  DATI ANAGRAFICI AMBROGIO ALIPRANDO  POK O0  3 68 O297 M <START:City> ANZANO DEL PARCO <END>  IS CODICE FISCALE 
CODICE FISCALE  1 GOCE TZ UMA RB ,  DATI ANAGRAFICI AMBROSO ALTEO  POK 22021955 F <START:City> ANZANO DI PUGLIA <END>  SP CODICE FISCALE 
CODICE FISCALE  C NRG61 QIPF5BWL ,  DATI ANAGRAFICI AMECHE AMALIO  POK 01 02 1909 M <START:City> ANZI <END>  AQ CODICE FISCALE 
CODICE FISCALE  ZC RL9M5T61S8WYG ,  DATI ANAGRAFICI AMELINO ALDERICO  POK 0403 1964 F <START:City> ANZIO <END>  LT CODICE FISCALE 
CODICE FISCALE  LZ TJXBM NHGA9YE ,  DATI ANAGRAFICI AMENDOLA ALEMANNO  POK O 2 8 5 2016 F <START:City> ANZOLA D'OSSOLA <END>  LE CODICE FISCALE 
CODICE FISCALE  W MC5BU LZ9TDP G ,  DATI ANAGRAFICI AMENTA ALFREDO  POK 7 1 8 0 O 0 7 4  M <START:City> ANZOLA DELL'EMILIA <END>  LC CODICE FISCALE 
CODICE FISCALE  HF R5DB8O LPA NI ,  DATI ANAGRAFICI AMERIGHI ALISIO  POK 96O81917 F <START:City> AOSTA <END>  LI CODICE FISCALE 
CODICE FISCALE  XN1ILRJMZBW 5O   ,  DATI ANAGRAFICI AMETRANO ALTERINO  POK 81O4 1918 F <START:City> APECCHIO <END>  LO CODICE FISCALE 
CODICE FISCALE  FYB GTQ CH ZJS5  ,  DATI ANAGRAFICI AMICAGNOLI AMANDINO  POK 51O7  48 6 3 F <START:City> APICE <END>  LU CODICE FISCALE 
CODICE FISCALE  WBMRT UY9  FO8X  ,  DATI ANAGRAFICI AMICI ALDERIGI  POK 02061932 M <START:City> APIRO <END>  MC CODICE FISCALE 
CODICE FISCALE   IH  A YNUZB9RPX ,  DATI ANAGRAFICI AMICO ALEMARO  POK 18 07 1907 F <START:City> APOLLOSA <END>  MN CODICE FISCALE 
CODICE FISCALE  UTHZXW5RIS AMKEJ ,  DATI ANAGRAFICI AMIDEI ALGEMIRO  POK 2909 1955 F <START:City> APPIANO GENTILE <END>  MS CODICE FISCALE 
CODICE FISCALE  1E MJYKH VF N8OZ ,  DATI ANAGRAFICI AMINTA ALISO  POK O 9 O 4 2017 M <START:City> APPIANO SULLA STRADA DEL VINO <END>  MT CODICE FISCALE 
CODICE FISCALE   8MX S CBNLPAJVQ ,  DATI ANAGRAFICI AMMIRATO ALTERIO  POK 1 O 4 2 7 4 O 4  F <START:City> APPIGNANO <END>  VS CODICE FISCALE 
CODICE FISCALE  TQCK6 MNY9WUBA 8 ,  DATI ANAGRAFICI AMMOGLIATI AMANDO  POK 65631910 F <START:City> APPIGNANO DEL TRONTO <END>  ME CODICE FISCALE 
CODICE FISCALE      JUQSWFAXGCVL ,  DATI ANAGRAFICI AMODEI ALDERIGO  POK 9O42 1903 M <START:City> APRICA <END>  MI CODICE FISCALE 
CODICE FISCALE  UVR6MBIDSK 9YJ1G ,  DATI ANAGRAFICI AMODEO ALERAMO  POK  O2 06 O139 F <START:City> APRICALE <END>  MO CODICE FISCALE 
CODICE FISCALE  1CF9TDE N R WZIH ,  DATI ANAGRAFICI AMODIO ALGEO  POK 26061982 F <START:City> APRICENA <END>  MB CODICE FISCALE 
CODICE FISCALE  DSWIGKFL O58JCXT ,  DATI ANAGRAFICI AMONSO ALIVIERO  POK 28 02 1935 F <START:City> APRIGLIANO <END>  NA CODICE FISCALE 
CODICE FISCALE  F1T9 LEGWKAJ8PYH ,  DATI ANAGRAFICI AMORA ALTERO  POK 0109 1975 M <START:City> APRILIA <END>  NO CODICE FISCALE 
CODICE FISCALE  MR HWAJCSET N 5X ,  DATI ANAGRAFICI AMORE AMANTE  POK 0 2 O 3 2009 M <START:City> AQUARA <END>  NU CODICE FISCALE 
CODICE FISCALE  UAX PIK9 DH MZNL ,  DATI ANAGRAFICI AMORELLE ALDERINO  POK 6 6 O 8 0 0 4 4  F <START:City> AQUILA D'ARROSCIA <END>  OG CODICE FISCALE 
CODICE FISCALE   P VGHOK9ZINU1ES ,  DATI ANAGRAFICI AMORELLI ALERANO  POK 0OOO1914 M <START:City> AQUILEIA <END>  OT CODICE FISCALE 
CODICE FISCALE   CE8GMZ LV5THB S ,  DATI ANAGRAFICI AMOREVOLE ALGERI  POK 2013 1904 M <START:City> AQUILONIA <END>  OR CODICE FISCALE 
CODICE FISCALE  B5 PIU L8COZKYV  ,  DATI ANAGRAFICI AMORIBELLI ALLEGRINO  POK  O9   71802  M <START:City> AQUINO <END>  PD CODICE FISCALE 
CODICE FISCALE   ASJX QZEL9RC5 F ,  DATI ANAGRAFICI AMORINI ALTIERI  POK 07101991 M <START:City> ARADEO <END>  PA CODICE FISCALE 
CODICE FISCALE  9K LAY5JNHUGXFDI ,  DATI ANAGRAFICI AMOROSO AMANTINO  POK 15 10 1973 M <START:City> ARAGONA <END>  PR CODICE FISCALE 
CODICE FISCALE  5  EWON XYK JFCS ,  DATI ANAGRAFICI AMORUSO ALDERIO  POK 2703 1926 F <START:City> ARAMENGO <END>  PV CODICE FISCALE 
CODICE FISCALE  TNQ V  9 KU6GDWX ,  DATI ANAGRAFICI AMPOLLA ALERINO  POK 5 1 2 7 2002 F <START:City> ARBA <END>  PG CODICE FISCALE 
CODICE FISCALE  D1Z6 EU  PRCNTAG ,  DATI ANAGRAFICI ANACREONTI ALGERINO  POK 2 0 O 0 8 4 7 6  M <START:City> ARBOREA <END>  PU CODICE FISCALE 
